Cell	20081128_sulston	20230224_RW10265_tbx-8_die-1_L4	20230224_RW10265_tbx-8_die-1_L3	20230224_RW10265_tbx-8_die-1_L1	20230223_JIM188_tbx-9_die-1_L4	20230222_JIM188_tbx-9_die-1_L1
ABalpaapapa	NA	NA	NA	NA	NA	NA
ABalpaapapp	NA	NA	NA	NA	NA	NA
ABalpaapp	57	45.3	39.2	50.5	49.3	42.3
ABalpaappa	74	99	75.5	92.7	96.8	84.3
ABalpaappaa	NA	NA	NA	NA	NA	NA
ABalpaappap	NA	NA	NA	NA	NA	NA
ABalpaappp	64	74.4	61	87.6	88.3	68
ABalpaapppa	NA	NA	NA	NA	NA	NA
ABalpaapppp	NA	NA	NA	NA	NA	NA
ABalpap	28	25.4	24.1	25.5	25.6	23.9
ABalpapa	38	33.1	30	36.1	31.5	31.6
ABalpapaa	52	43.8	42.3	49.2	47.8	48.6
ABalpapaaa	59	63.1	58	72.8	71.4	68.5
ABalpapaaaa	NA	NA	NA	NA	NA	NA
ABalpapaaap	NA	NA	NA	NA	NA	NA
ABalpapaap	84	86	74.2	99.8	95	75.1
ABalpapaapa	NA	NA	NA	NA	NA	NA
ABalpapaapp	NA	NA	NA	NA	NA	NA
ABalpapap	52	48.4	42.3	50.9	47.8	40.8
ABalpapapa	59	68.3	58	78	71.4	66.5
ABalpapapaa	NA	NA	NA	NA	NA	NA
ABalpapapap	104	NA	NA	NA	NA	NA
ABalpapapapa	NA	NA	NA	NA	NA	NA
ABalpapapapp	NA	NA	NA	NA	NA	NA
ABalpapapp	79	78.1	69.3	94.8	91.6	77.9
ABalpapappa	NA	NA	NA	NA	NA	NA
ABalpapappp	NA	NA	NA	NA	NA	NA
ABalpapp	38	30.1	28.5	31.6	30	28.6
ABalpappa	42	37.7	36.2	47.5	44.6	37.8
ABalpappaa	84	77.1	67.2	84.1	72.8	67.6
ABalpappaaa	NA	NA	NA	NA	NA	NA
ABalpappaap	89	NA	95	NA	NA	NA
ABalpappaapa	NA	NA	NA	NA	NA	NA
ABalpappaapp	NA	NA	NA	NA	NA	NA
ABalpappap	54	56.1	49.6	61	62.8	53.1
ABalpappapa	NA	NA	NA	NA	NA	NA
ABalpappapp	NA	NA	NA	NA	NA	NA
ABalpappp	39	39.2	36.2	46	39.8	37.8
ABalpapppa	107	113.5	93.2	124.7	119.8	100.5
ABalpapppaa	NA	NA	NA	NA	NA	NA
ABalpapppap	NA	NA	NA	NA	NA	NA
ABalpapppp	47	48.1	45	51	49.5	43.5
ABalpappppa	NA	NA	NA	NA	NA	NA
ABalpappppp	NA	NA	NA	NA	NA	NA
ABalpp	29	22.6	21.1	22.6	24	22.6
ABalppa	28	26.9	25.6	27	27.1	28.4
ABalppaa	38	36.1	36	43.7	37.7	36.1
ABalppaaa	62	45.6	40.8	52.8	49.6	47.3
ABalppaaaa	NA	NA	NA	NA	NA	NA
ABalppaaap	64	91.5	77.9	111.2	99.1	88.9
ABalppaaapa	NA	NA	NA	NA	NA	NA
ABalppaaapp	NA	NA	NA	NA	NA	NA
ABalppaap	57	43.9	43.8	54.4	51.2	47.3
ABalppaapa	NA	NA	NA	NA	NA	NA
ABalppaapp	74	88	58.5	97.5	82.1	70.6
ABalppaappa	NA	NA	NA	NA	NA	NA
ABalppaappp	NA	NA	NA	NA	NA	NA
ABalppap	38	33.1	30	36.1	33	30.1
ABalppapa	47	42.3	39.3	47.7	43.2	39.3
ABalppapaa	79	86	69.3	89.6	88.1	74.6
ABalppapaaa	NA	NA	NA	NA	NA	NA
ABalppapaap	NA	NA	NA	NA	NA	NA
ABalppapap	74	91	69.3	93	84.7	77.9
ABalppapapa	NA	NA	NA	NA	NA	NA
ABalppapapp	NA	NA	NA	NA	NA	NA
ABalppapp	42	40.8	37.8	44.6	41.7	37.8
ABalppappa	74	81	70.8	87.7	89.6	82.8
ABalppappaa	NA	NA	NA	NA	NA	NA
ABalppappap	NA	NA	NA	NA	NA	NA
ABalppappp	69	69.6	59.5	74.4	74.6	63.2
ABalppapppa	124	NA	NA	NA	NA	NA
ABalppapppaa	NA	NA	NA	NA	NA	NA
ABalppapppap	NA	NA	NA	NA	NA	NA
ABalppapppp	NA	NA	NA	NA	NA	NA
ABalppp	28	25.4	24.1	27	25.6	25.4
ABalpppa	38	33.1	33	36.1	34.5	31.6
ABalpppaa	62	45.4	43.8	55.6	48	43.9
ABalpppaaa	79	112.8	84.3	100.4	119.3	84.8
ABalpppaaaa	NA	NA	NA	NA	NA	NA
ABalpppaaap	NA	NA	NA	NA	NA	NA
ABalpppaap	89	92.8	84.3	110.7	107.3	101.5
ABalpppaapd	NA	NA	NA	NA	NA	NA
ABalpppaapv	NA	NA	NA	NA	NA	NA
ABalpppap	52	43.8	37.7	49.4	41.7	39.3
ABalpppapa	74	82.7	67.6	88.1	83	73
ABalpppapad	NA	NA	NA	NA	NA	NA
ABalpppapav	NA	NA	NA	NA	NA	NA
ABalpppapp	59	68	54.8	78	83	63.2
ABalpppappa	NA	NA	NA	NA	NA	NA
ABalpppappp	94	NA	69.1	NA	NA	90.7
ABalpppapppa	NA	NA	NA	NA	NA	NA
ABalpppapppp	NA	NA	NA	NA	NA	NA
ABalpppp	38	31.6	30	33.1	33	28.6
ABalppppa	48	42.3	39.3	47.6	44.7	40.8
ABalppppaa	68	85.8	80.5	101.2	98.2	68
ABalppppaad	NA	NA	NA	NA	NA	NA
ABalppppaav	NA	NA	NA	NA	NA	NA
ABalppppap	78	79.3	67.5	86.1	79.7	74.5
ABalppppapa	109	NA	NA	NA	NA	NA
ABalppppapaa	NA	NA	NA	NA	NA	NA
ABalppppapap	NA	NA	NA	NA	NA	NA
ABalppppapp	NA	NA	NA	NA	NA	NA
ABalppppp	42	36.2	36.2	41.4	38.5	34.7
ABalpppppa	64	72.3	69	77.2	76	65.9
ABalpppppaa	NA	NA	NA	NA	NA	NA
ABalpppppap	NA	NA	NA	NA	NA	NA
ABalpppppp	44	49.8	46.5	57.5	56.1	48.3
ABalppppppa	89	77.2	75.1	105.4	84.7	75.4
ABalppppppaa	NA	NA	NA	NA	NA	NA
ABalppppppap	NA	NA	NA	NA	NA	NA
ABalppppppp	89	83.9	75.1	86.1	76.1	77.2
ABalpppppppa	NA	NA	NA	NA	NA	NA
ABalpppppppp	NA	NA	NA	NA	NA	NA
ABar	17	4.5	7.5	10.5	13.5	7.5
ABara	21	13.5	12	15.1	15.1	13.5
ABaraa	29	21.1	21.1	21.1	22.5	21.1
ABaraaa	28	28.4	24.1	28.5	27.1	26.9
ABaraaaa	38	36.1	33	43.7	40.7	34.6
ABaraaaaa	67	47.1	42.3	54.4	53.1	47.2
ABaraaaaaa	84	88.1	67.9	94.1	92.7	73.6
ABaraaaaaaa	NA	NA	NA	NA	NA	NA
ABaraaaaaap	NA	NA	NA	NA	NA	NA
ABaraaaaap	89	80	66.3	90.6	85.9	80.2
ABaraaaaapa	NA	NA	NA	NA	NA	NA
ABaraaaaapp	NA	NA	NA	NA	NA	NA
ABaraaaap	72	54.8	45.3	62.4	62.6	54.9
ABaraaaapa	79	93.9	73	115.3	98.6	100.9
ABaraaaapaa	NA	NA	NA	NA	NA	NA
ABaraaaapap	NA	NA	NA	NA	NA	NA
ABaraaaapp	NA	NA	NA	NA	NA	NA
ABaraaap	38	28.6	33	36.1	31.5	28.6
ABaraaapa	48	36.2	34.6	47.7	40	36.3
ABaraaapaa	73	82.1	62.6	99.8	82.6	70.9
ABaraaapaaa	NA	NA	NA	NA	NA	NA
ABaraaapaap	NA	NA	NA	NA	NA	NA
ABaraaapap	58	56.1	48.1	71.1	61.1	50
ABaraaapapa	NA	NA	NA	NA	NA	NA
ABaraaapapp	NA	NA	NA	NA	NA	NA
ABaraaapp	59	46.8	39.2	55.6	46.3	50.1
ABaraaappa	72	81.1	84	91.9	103.5	83.3
ABaraaappaa	NA	NA	NA	NA	NA	NA
ABaraaappap	NA	NA	NA	NA	NA	NA
ABaraaappp	67	82.7	64.4	100.4	98.4	95
ABaraaapppa	NA	NA	NA	NA	NA	NA
ABaraaapppp	NA	NA	NA	NA	NA	NA
ABaraap	28	26.9	22.4	27	27.1	25.4
ABaraapa	38	30.1	30	36.1	31.5	31.6
ABaraapaa	57	40.8	40.8	47.6	44.7	39.3
ABaraapaaa	69	77.5	64.3	79.5	88.1	63.1
ABaraapaaaa	NA	NA	NA	NA	NA	NA
ABaraapaaap	NA	NA	NA	NA	NA	NA
ABaraapaap	54	62.9	54.6	64.5	66.3	55
ABaraapaapa	NA	NA	NA	NA	NA	NA
ABaraapaapp	NA	NA	NA	NA	NA	NA
ABaraapap	57	39.3	37.7	47.6	44.7	36.3
ABaraapapa	49	54.6	49.7	61.2	61.4	58.1
ABaraapapaa	129	NA	NA	NA	NA	NA
ABaraapapaad	NA	NA	NA	NA	NA	NA
ABaraapapaav	NA	NA	NA	NA	NA	NA
ABaraapapap	NA	NA	NA	NA	NA	NA
ABaraapapp	94	100.3	80.4	109.9	106.7	90.6
ABaraapappa	NA	NA	NA	NA	NA	NA
ABaraapappp	NA	NA	NA	NA	NA	NA
ABaraapp	38	30.1	30	33.1	31.5	28.6
ABaraappa	57	48.4	40.8	53.9	47.8	46.9
ABaraappaa	74	82.9	69.1	93.1	84.8	76.4
ABaraappaaa	NA	NA	NA	NA	NA	NA
ABaraappaap	NA	NA	NA	NA	NA	NA
ABaraappap	54	60	54.6	73.1	64.7	55.2
ABaraappapa	NA	NA	NA	NA	NA	NA
ABaraappapp	NA	NA	NA	NA	NA	NA
ABaraappp	57	43.8	37.7	53.9	46.3	40.8
ABaraapppa	49	61.4	45	59.7	64.7	66.3
ABaraapppaa	129	NA	NA	NA	NA	NA
ABaraapppaad	NA	NA	NA	NA	NA	NA
ABaraapppaav	NA	NA	NA	NA	NA	NA
ABaraapppap	NA	NA	NA	NA	NA	NA
ABaraapppp	89	82.5	75.5	113.7	103.5	99.1
ABaraappppa	NA	NA	NA	NA	NA	NA
ABaraappppp	NA	NA	NA	NA	NA	NA
ABarap	29	21.1	21.1	22.6	21	21.1
ABarapa	28	25.4	24.1	27	28.6	26.9
ABarapaa	38	31.6	31.5	36.1	34.5	31.6
ABarapaaa	62	43.8	42.3	52.5	51.2	45.4
ABarapaaaa	84	72.7	64.6	76.6	76.9	66.7
ABarapaaaaa	NA	NA	NA	NA	NA	NA
ABarapaaaap	NA	NA	NA	NA	NA	NA
ABarapaaap	89	85.8	64.6	85	83.7	79.8
ABarapaaapa	NA	NA	NA	NA	NA	NA
ABarapaaapp	NA	NA	NA	NA	NA	NA
ABarapaap	57	37.7	36.2	44.6	43.3	37.8
ABarapaapa	109	93.6	77.1	99.6	98.4	87.6
ABarapaapaa	NA	NA	NA	NA	NA	NA
ABarapaapap	NA	NA	NA	NA	NA	NA
ABarapaapp	54	56.1	48.1	62.8	53.2	48.5
ABarapaappa	NA	NA	NA	NA	NA	NA
ABarapaappp	NA	NA	NA	NA	NA	NA
ABarapap	38	30.1	30	33.1	31.5	28.6
ABarapapa	42	39.2	37.7	44.5	47.8	37.8
ABarapapaa	89	80.5	64.1	82.5	90	69.4
ABarapapaaa	NA	NA	NA	NA	NA	NA
ABarapapaap	84	NA	96.8	NA	NA	80.2
ABarapapaapa	NA	NA	NA	NA	NA	NA
ABarapapaapp	NA	NA	NA	NA	NA	NA
ABarapapap	64	67.5	56.1	72.6	78.1	61.3
ABarapapapa	NA	NA	NA	NA	NA	NA
ABarapapapp	NA	NA	NA	NA	NA	NA
ABarapapp	38	37.7	36.2	43	43.2	37.8
ABarapappa	108	121.7	101.6	NA	130.8	132.6
ABarapappaa	NA	NA	NA	NA	NA	NA
ABarapappap	NA	NA	NA	NA	NA	NA
ABarapappp	48	56.1	49.7	51	51.4	45.3
ABarapapppa	NA	NA	NA	NA	NA	NA
ABarapapppp	NA	NA	NA	NA	NA	NA
ABarapp	28	26.9	24.1	28.5	30.1	25.4
ABarappa	38	33.1	30	37.6	34.5	31.6
ABarappaa	57	43.8	42.3	51	51.1	43.9
ABarappaaa	74	81.1	70.9	93.5	85.5	73.1
ABarappaaaa	NA	NA	NA	NA	NA	NA
ABarappaaap	NA	NA	NA	NA	NA	NA
ABarappaap	84	89.3	69.3	96.9	94	74.8
ABarappaapa	NA	NA	NA	NA	NA	NA
ABarappaapp	NA	NA	NA	NA	NA	NA
ABarappap	47	45.4	42.3	47.9	44.9	40.8
ABarappapa	74	69.8	56.4	74.7	80	64.8
ABarappapaa	NA	NA	NA	NA	NA	NA
ABarappapap	109	NA	NA	NA	NA	NA
ABarappapapa	NA	NA	NA	NA	NA	NA
ABarappapapp	NA	NA	NA	NA	NA	NA
ABarappapp	79	81.2	62.8	84.9	88.5	73
ABarappappa	NA	NA	NA	NA	NA	NA
ABarappappp	NA	NA	NA	NA	NA	NA
ABarappp	38	30.1	28.5	36.1	33	30.1
ABarapppa	48	43.8	42.3	51	46.5	42.3
ABarapppaa	73	87.5	66	98.5	86.8	77.9
ABarapppaaa	NA	NA	NA	NA	NA	NA
ABarapppaap	NA	NA	NA	NA	NA	NA
ABarapppap	73	77.6	67.6	90	85	69.7
ABarapppapa	NA	NA	NA	NA	NA	NA
ABarapppapp	NA	NA	NA	NA	NA	NA
ABarapppp	47	43.8	39.2	49.4	46.5	39.3
ABarappppa	74	80.9	72.3	88.2	91.8	79.3
ABarappppaa	NA	NA	NA	NA	NA	NA
ABarappppap	NA	NA	NA	NA	NA	NA
ABarappppp	69	71.1	59.4	73.1	75	64.6
ABarapppppa	114	NA	NA	NA	NA	NA
ABarapppppaa	NA	NA	NA	NA	NA	NA
ABarapppppap	NA	NA	NA	NA	NA	NA
ABarapppppp	NA	NA	NA	NA	NA	NA
ABarp	21	13.5	12	13.6	13.6	13.5
ABarpa	29	21.1	21.1	24.1	24	22.6
ABarpaa	28	23.9	22.4	24	24.1	22.4
ABarpaaa	38	39.1	37.5	48.2	42.2	37.6
ABarpaaaa	67	47.1	43.8	54.5	48.1	42.4
ABarpaaaaa	79	104.8	94.5	137.6	133.9	99.8
ABarpaaaaal	NA	NA	NA	NA	NA	NA
ABarpaaaaar	NA	NA	NA	NA	NA	NA
ABarpaaaap	79	98.1	78	111.4	119.9	84.8
ABarpaaaapa	NA	NA	NA	NA	NA	NA
ABarpaaaapp	NA	NA	NA	NA	NA	NA
ABarpaaap	67	51.7	47	60.9	56.1	51.8
ABarpaaapa	74	85.1	78.1	NA	111.9	95.6
ABarpaaapaa	NA	NA	NA	NA	NA	NA
ABarpaaapap	NA	NA	NA	NA	NA	NA
ABarpaaapp	NA	NA	NA	NA	NA	NA
ABarpaap	38	33.1	30	34.6	33	31.6
ABarpaapa	47	45.3	36.2	46	41.5	37.8
ABarpaapaa	NA	NA	NA	NA	NA	NA
ABarpaapap	NA	NA	NA	NA	NA	NA
ABarpaapp	42	45.3	40.8	46	41.5	40.8
ABarpaappa	NA	NA	NA	NA	NA	NA
ABarpaappp	NA	NA	NA	NA	NA	NA
ABarpap	28	23.9	24.1	25.5	25.6	23.9
ABarpapa	38	30.1	31.5	33.1	33	30.1
ABarpapaa	58	45.3	40.8	55.4	47.8	46.9
ABarpapaaa	88	105.6	72.5	113.7	110.5	93.1
ABarpapaaaa	NA	NA	NA	NA	NA	NA
ABarpapaaap	NA	NA	NA	NA	NA	NA
ABarpapaap	58	67.8	56.4	76.4	63.1	60.2
ABarpapaapa	NA	NA	NA	NA	NA	NA
ABarpapaapp	90	NA	96.6	NA	NA	NA
ABarpapaappa	NA	NA	NA	NA	NA	NA
ABarpapaappp	NA	NA	NA	NA	NA	NA
ABarpapap	57	51.4	45.3	52.2	47.8	46.9
ABarpapapa	NA	NA	NA	NA	NA	NA
ABarpapapp	NA	NA	NA	NA	NA	NA
ABarpapp	38	33.1	33	36.1	33	33.1
ABarpappa	67	42.3	45.3	54	52.6	45.4
ABarpappaa	NA	NA	NA	NA	NA	NA
ABarpappap	NA	NA	NA	NA	NA	NA
ABarpappp	47	45.3	39.2	47.6	43.2	40.8
ABarpapppa	NA	NA	NA	NA	NA	NA
ABarpapppp	NA	NA	NA	NA	NA	NA
ABarpp	29	22.6	22.6	24.1	24	22.6
ABarppa	28	23.9	24.1	25.5	27.1	23.9
ABarppaa	38	39.1	34.5	39.1	43.7	34.6
ABarppaaa	62	56.3	53.2	65.2	67.6	50.2
ABarppaaaa	NA	NA	NA	NA	NA	NA
ABarppaaap	NA	NA	NA	NA	NA	NA
ABarppaap	57	54.8	48.5	58.9	58	43.9
ABarppaapa	NA	NA	NA	NA	NA	NA
ABarppaapp	204	NA	NA	NA	NA	NA
ABarppaappa	NA	NA	NA	NA	NA	NA
ABarppaappp	NA	NA	NA	NA	NA	NA
ABarppap	38	43.6	37.5	42.1	42.2	42.1
ABarppapa	57	94.8	80	54.3	51.6	NA
ABarppapaa	NA	NA	NA	NA	NA	NA
ABarppapap	NA	NA	NA	NA	NA	NA
ABarppapp	57	NA	NA	52.6	66	NA
ABarppappa	NA	NA	NA	NA	NA	NA
ABarppappp	NA	NA	NA	NA	NA	NA
ABarppp	28	23.9	25.6	25.5	27.1	25.4
ABarpppa	38	37.6	33	40.6	39.2	36.1
ABarpppaa	62	53.3	45.3	54.2	61	47.2
ABarpppaaa	NA	NA	NA	NA	NA	NA
ABarpppaap	NA	NA	NA	NA	NA	NA
ABarpppap	57	48.6	43.8	49.5	56.1	45.7
ABarpppapa	NA	NA	NA	NA	NA	NA
ABarpppapp	199	NA	NA	NA	NA	NA
ABarpppappa	NA	NA	NA	NA	NA	NA
ABarpppappp	NA	NA	NA	NA	NA	NA
ABarpppp	38	40.6	37.5	45.2	40.7	37.6
ABarppppa	57	51.8	NA	NA	51.5	48.8
ABarppppaa	NA	NA	NA	NA	NA	NA
ABarppppap	NA	NA	NA	NA	NA	NA
ABarppppp	52	50.3	NA	NA	53.1	51.9
ABarpppppa	NA	NA	NA	NA	NA	NA
ABarpppppp	NA	NA	NA	NA	NA	NA
ABp	16	NA	NA	NA	NA	NA
ABpl	17	6	7.5	10.5	12	7.5
ABpla	21	12	10.5	13.6	15.1	13.5
ABplaa	29	21.1	21.1	22.6	22.5	22.6
ABplaaa	28	25.4	22.4	27	28.6	23.9
ABplaaaa	38	34.6	33.1	34.6	37.7	34.6
ABplaaaaa	57	48.4	40.8	49.1	51.4	43.9
ABplaaaaaa	89	109.7	102.1	NA	113.2	91.5
ABplaaaaaaa	NA	NA	NA	NA	NA	NA
ABplaaaaaap	NA	NA	NA	NA	NA	NA
ABplaaaaap	64	66.6	58	76.2	72.1	61.8
ABplaaaaapa	NA	NA	NA	NA	NA	NA
ABplaaaaapp	89	NA	100	NA	NA	NA
ABplaaaaappa	NA	NA	NA	NA	NA	NA
ABplaaaaappp	NA	NA	NA	NA	NA	NA
ABplaaaap	57	46.9	40.8	49.1	48.1	43.9
ABplaaaapa	NA	NA	NA	NA	NA	NA
ABplaaaapp	NA	NA	NA	NA	NA	NA
ABplaaap	38	33.1	33.1	37.6	37.7	36.1
