Cell	20081128_sulston	20230224_RW10265_tbx-8_die-1_L4	20230224_RW10265_tbx-8_die-1_L3	20230224_RW10265_tbx-8_die-1_L1	20230223_JIM188_tbx-9_die-1_L4	20230222_JIM188_tbx-9_die-1_L1
ABalpaapapa	NA	NA	NA	NA	NA	NA
ABalpaapapp	NA	NA	NA	NA	NA	NA
ABalpaapp	57	45.9	44.6	46	47	45.1
ABalpaappa	74	100.5	86	84.4	92.1	90
ABalpaappaa	NA	NA	NA	NA	NA	NA
ABalpaappap	NA	NA	NA	NA	NA	NA
ABalpaappp	64	75.5	69.5	79.7	84	72.6
ABalpaapppa	NA	NA	NA	NA	NA	NA
ABalpaapppp	NA	NA	NA	NA	NA	NA
ABalpap	28	25.8	27.4	23.3	24.3	25.6
ABalpapa	38	33.6	34.1	32.8	30	33.7
ABalpapaa	52	44.5	48.2	44.9	45.5	51.9
ABalpapaaa	59	64	66.1	66.3	67.9	73.1
ABalpapaaaa	NA	NA	NA	NA	NA	NA
ABalpapaaap	NA	NA	NA	NA	NA	NA
ABalpapaap	84	87.3	84.5	90.8	90.4	80.2
ABalpapaapa	NA	NA	NA	NA	NA	NA
ABalpapaapp	NA	NA	NA	NA	NA	NA
ABalpapap	52	49.2	48.2	46.3	45.5	43.6
ABalpapapa	59	69.3	66.1	71.1	67.9	71
ABalpapapaa	NA	NA	NA	NA	NA	NA
ABalpapapap	104	NA	NA	NA	NA	NA
ABalpapapapa	NA	NA	NA	NA	NA	NA
ABalpapapapp	NA	NA	NA	NA	NA	NA
ABalpapapp	79	79.3	78.9	86.4	87.2	83.2
ABalpapappa	NA	NA	NA	NA	NA	NA
ABalpapappp	NA	NA	NA	NA	NA	NA
ABalpapp	38	30.5	32.4	28.7	28.6	30.5
ABalpappa	42	38.2	41.2	43.2	42.4	40.3
ABalpappaa	84	78.3	76.7	76.6	69.3	72.3
ABalpappaaa	NA	NA	NA	NA	NA	NA
ABalpappaap	89	NA	108.3	NA	NA	NA
ABalpappaapa	NA	NA	NA	NA	NA	NA
ABalpappaapp	NA	NA	NA	NA	NA	NA
ABalpappap	54	57	56.6	55.5	59.7	56.8
ABalpappapa	NA	NA	NA	NA	NA	NA
ABalpappapp	NA	NA	NA	NA	NA	NA
ABalpappp	39	39.8	41.2	41.8	37.9	40.3
ABalpapppa	107	115.2	106.3	113.6	114	107.3
ABalpapppaa	NA	NA	NA	NA	NA	NA
ABalpapppap	NA	NA	NA	NA	NA	NA
ABalpapppp	47	48.9	51.2	46.5	47.1	46.5
ABalpappppa	NA	NA	NA	NA	NA	NA
ABalpappppp	NA	NA	NA	NA	NA	NA
ABalpp	29	22.9	24	20.5	22.8	24.1
ABalppa	28	27.4	29.1	24.6	25.8	30.4
ABalppaa	38	36.6	41.1	39.8	35.8	38.5
ABalppaaa	62	46.3	46.6	48	47.3	50.5
ABalppaaaa	NA	NA	NA	NA	NA	NA
ABalppaaap	64	92.9	88.7	101.2	94.4	94.9
ABalppaaapa	NA	NA	NA	NA	NA	NA
ABalppaaapp	NA	NA	NA	NA	NA	NA
ABalppaap	57	44.6	50	49.5	48.8	50.5
ABalppaapa	NA	NA	NA	NA	NA	NA
ABalppaapp	74	89.3	66.6	88.8	78.2	75.4
ABalppaappa	NA	NA	NA	NA	NA	NA
ABalppaappp	NA	NA	NA	NA	NA	NA
ABalppap	38	33.6	34.1	32.8	31.5	32.1
ABalppapa	47	43	44.7	43.5	41.1	42
ABalppapaa	79	87.3	78.9	81.7	83.8	79.6
ABalppapaaa	NA	NA	NA	NA	NA	NA
ABalppapaap	NA	NA	NA	NA	NA	NA
ABalppapap	74	92.4	78.9	84.7	80.6	83.2
ABalppapapa	NA	NA	NA	NA	NA	NA
ABalppapapp	NA	NA	NA	NA	NA	NA
ABalppapp	42	41.5	43	40.7	39.7	40.4
ABalppappa	74	82.2	80.6	79.9	85.4	88.4
ABalppappaa	NA	NA	NA	NA	NA	NA
ABalppappap	NA	NA	NA	NA	NA	NA
ABalppappp	69	70.6	67.8	67.7	71	67.5
ABalppapppa	124	NA	NA	NA	NA	NA
ABalppapppaa	NA	NA	NA	NA	NA	NA
ABalppapppap	NA	NA	NA	NA	NA	NA
ABalppapppp	NA	NA	NA	NA	NA	NA
ABalppp	28	25.8	27.4	24.6	24.3	27.2
ABalpppa	38	33.6	37.6	32.8	32.9	33.7
ABalpppaa	62	46.2	49.9	50.7	45.7	46.9
ABalpppaaa	79	114.5	96	91.4	113.6	90.5
ABalpppaaaa	NA	NA	NA	NA	NA	NA
ABalpppaaap	NA	NA	NA	NA	NA	NA
ABalpppaap	89	94.2	96	100.8	102.1	108.4
ABalpppaapd	NA	NA	NA	NA	NA	NA
ABalpppaapv	NA	NA	NA	NA	NA	NA
ABalpppap	52	44.5	42.9	44.9	39.7	42
ABalpppapa	74	83.9	77.1	80.3	79	77.9
ABalpppapad	NA	NA	NA	NA	NA	NA
ABalpppapav	NA	NA	NA	NA	NA	NA
ABalpppapp	59	69	62.4	71.1	79	67.5
ABalpppappa	NA	NA	NA	NA	NA	NA
ABalpppappp	94	NA	78.7	NA	NA	96.8
ABalpppapppa	NA	NA	NA	NA	NA	NA
ABalpppapppp	NA	NA	NA	NA	NA	NA
ABalpppp	38	32	34.1	30.1	31.5	30.5
ABalppppa	48	42.9	44.7	43.4	42.5	43.5
ABalppppaa	68	87.1	91.7	92.2	93.5	72.6
ABalppppaad	NA	NA	NA	NA	NA	NA
ABalppppaav	NA	NA	NA	NA	NA	NA
ABalppppap	78	80.5	76.9	78.4	75.8	79.5
ABalppppapa	109	NA	NA	NA	NA	NA
ABalppppapaa	NA	NA	NA	NA	NA	NA
ABalppppapap	NA	NA	NA	NA	NA	NA
ABalppppapp	NA	NA	NA	NA	NA	NA
ABalppppp	42	36.7	41.2	37.7	36.6	37
ABalpppppa	64	73.4	78.6	70.4	72.3	70.3
ABalpppppaa	NA	NA	NA	NA	NA	NA
ABalpppppap	NA	NA	NA	NA	NA	NA
ABalpppppp	44	50.5	53.1	52.3	53.4	51.5
ABalppppppa	89	78.3	85.5	96	80.7	80.6
ABalppppppaa	NA	NA	NA	NA	NA	NA
ABalppppppap	NA	NA	NA	NA	NA	NA
ABalppppppp	89	85.1	85.5	78.4	72.4	82.4
ABalpppppppa	NA	NA	NA	NA	NA	NA
ABalpppppppp	NA	NA	NA	NA	NA	NA
ABar	17	4.5	8.5	9.5	12.8	8
ABara	21	13.7	13.6	13.7	14.3	14.4
ABaraa	29	21.4	24	19.2	21.4	22.5
ABaraaa	28	28.9	27.4	26	25.8	28.8
ABaraaaa	38	36.6	37.6	39.8	38.7	36.9
ABaraaaaa	67	47.8	48.2	49.5	50.5	50.4
ABaraaaaaa	84	89.5	77.3	85.7	88.3	78.7
ABaraaaaaaa	NA	NA	NA	NA	NA	NA
ABaraaaaaap	NA	NA	NA	NA	NA	NA
ABaraaaaap	89	81.2	75.5	82.6	81.7	85.7
ABaraaaaapa	NA	NA	NA	NA	NA	NA
ABaraaaaapp	NA	NA	NA	NA	NA	NA
ABaraaaap	72	55.7	51.7	56.8	59.6	58.7
ABaraaaapa	79	95.3	83.2	105.1	93.9	107.7
ABaraaaapaa	NA	NA	NA	NA	NA	NA
ABaraaaapap	NA	NA	NA	NA	NA	NA
ABaraaaapp	NA	NA	NA	NA	NA	NA
ABaraaap	38	29	37.6	32.8	30	30.5
ABaraaapa	48	36.7	39.4	43.5	38	38.7
ABaraaapaa	73	83.3	71.3	90.8	78.7	75.7
ABaraaapaaa	NA	NA	NA	NA	NA	NA
ABaraaapaap	NA	NA	NA	NA	NA	NA
ABaraaapap	58	57	54.9	64.8	58.1	53.4
ABaraaapapa	NA	NA	NA	NA	NA	NA
ABaraaapapp	NA	NA	NA	NA	NA	NA
ABaraaapp	59	47.6	44.6	50.7	44	53.5
ABaraaappa	72	82.3	95.7	83.7	98.5	89
ABaraaappaa	NA	NA	NA	NA	NA	NA
ABaraaappap	NA	NA	NA	NA	NA	NA
ABaraaappp	67	83.9	73.3	91.4	93.6	101.4
ABaraaapppa	NA	NA	NA	NA	NA	NA
ABaraaapppp	NA	NA	NA	NA	NA	NA
ABaraap	28	27.4	25.6	24.6	25.8	27.2
ABaraapa	38	30.5	34.1	32.8	30	33.7
ABaraapaa	57	41.4	46.5	43.4	42.5	41.9
ABaraapaaa	69	78.6	73.2	72.4	83.8	67.4
ABaraapaaaa	NA	NA	NA	NA	NA	NA
ABaraapaaap	NA	NA	NA	NA	NA	NA
ABaraapaap	54	63.8	62.3	58.7	63.1	58.7
ABaraapaapa	NA	NA	NA	NA	NA	NA
ABaraapaapp	NA	NA	NA	NA	NA	NA
ABaraapap	57	39.9	42.9	43.4	42.5	38.7
ABaraapapa	49	55.5	56.7	55.7	58.4	62
ABaraapapaa	129	NA	NA	NA	NA	NA
ABaraapapaad	NA	NA	NA	NA	NA	NA
ABaraapapaav	NA	NA	NA	NA	NA	NA
ABaraapapap	NA	NA	NA	NA	NA	NA
ABaraapapp	94	101.8	91.6	100	101.6	96.8
ABaraapappa	NA	NA	NA	NA	NA	NA
ABaraapappp	NA	NA	NA	NA	NA	NA
ABaraapp	38	30.5	34.1	30.1	30	30.5
ABaraappa	57	49.2	46.5	49	45.6	50.2
ABaraappaa	74	84.1	78.8	84.8	80.8	81.6
ABaraappaaa	NA	NA	NA	NA	NA	NA
ABaraappaap	NA	NA	NA	NA	NA	NA
ABaraappap	54	60.9	62.3	66.5	61.6	58.9
ABaraappapa	NA	NA	NA	NA	NA	NA
ABaraappapp	NA	NA	NA	NA	NA	NA
ABaraappp	57	44.4	42.9	49	44	43.5
ABaraapppa	49	62.3	51.4	54.4	61.6	70.8
ABaraapppaa	129	NA	NA	NA	NA	NA
ABaraapppaad	NA	NA	NA	NA	NA	NA
ABaraapppaav	NA	NA	NA	NA	NA	NA
ABaraapppap	NA	NA	NA	NA	NA	NA
ABaraapppp	89	83.7	86	103.5	98.5	105.9
ABaraappppa	NA	NA	NA	NA	NA	NA
ABaraappppp	NA	NA	NA	NA	NA	NA
ABarap	29	21.4	24	20.5	19.9	22.5
ABarapa	28	25.8	27.4	24.6	27.2	28.8
ABarapaa	38	32	35.9	32.8	32.9	33.7
ABarapaaa	62	44.4	48.3	47.8	48.7	48.6
ABarapaaaa	84	73.8	73.6	69.7	73.2	71.3
ABarapaaaaa	NA	NA	NA	NA	NA	NA
ABarapaaaap	NA	NA	NA	NA	NA	NA
ABarapaaap	89	87.1	73.6	77.4	79.6	85.3
ABarapaaapa	NA	NA	NA	NA	NA	NA
ABarapaaapp	NA	NA	NA	NA	NA	NA
ABarapaap	57	38.2	41.2	40.7	41.2	40.3
ABarapaapa	109	95	87.8	90.7	93.6	93.5
ABarapaapaa	NA	NA	NA	NA	NA	NA
ABarapaapap	NA	NA	NA	NA	NA	NA
ABarapaapp	54	57	54.9	57.1	50.6	51.9
ABarapaappa	NA	NA	NA	NA	NA	NA
ABarapaappp	NA	NA	NA	NA	NA	NA
ABarapap	38	30.5	34.1	30.1	30	30.5
ABarapapa	42	39.8	42.9	40.5	45.6	40.3
ABarapapaa	89	81.7	73.1	75.1	85.6	74.1
ABarapapaaa	NA	NA	NA	NA	NA	NA
ABarapapaap	84	NA	110.3	NA	NA	85.7
ABarapapaapa	NA	NA	NA	NA	NA	NA
ABarapapaapp	NA	NA	NA	NA	NA	NA
ABarapapap	64	68.5	64	66.1	74.4	65.4
ABarapapapa	NA	NA	NA	NA	NA	NA
ABarapapapp	NA	NA	NA	NA	NA	NA
ABarapapp	38	38.2	41.2	39.1	41.1	40.3
ABarapappa	108	123.6	115.9	NA	124.6	141.6
ABarapappaa	NA	NA	NA	NA	NA	NA
ABarapappap	NA	NA	NA	NA	NA	NA
ABarapappp	48	57	56.7	46.5	48.9	48.3
ABarapapppa	NA	NA	NA	NA	NA	NA
ABarapapppp	NA	NA	NA	NA	NA	NA
ABarapp	28	27.4	27.4	26	28.6	27.2
ABarappa	38	33.6	34.1	34.2	32.9	33.7
ABarappaa	57	44.5	48.2	46.5	48.7	46.9
ABarappaaa	74	82.3	80.8	85.1	81.4	78
ABarappaaaa	NA	NA	NA	NA	NA	NA
ABarappaaap	NA	NA	NA	NA	NA	NA
ABarappaap	84	90.6	78.9	88.2	89.4	79.8
ABarappaapa	NA	NA	NA	NA	NA	NA
ABarappaapp	NA	NA	NA	NA	NA	NA
ABarappap	47	46.2	48.2	43.6	42.7	43.6
ABarappapa	74	70.8	64.2	68.1	76.1	69.2
ABarappapaa	NA	NA	NA	NA	NA	NA
ABarappapap	109	NA	NA	NA	NA	NA
ABarappapapa	NA	NA	NA	NA	NA	NA
ABarappapapp	NA	NA	NA	NA	NA	NA
ABarappapp	79	82.4	71.5	77.3	84.2	77.9
ABarappappa	NA	NA	NA	NA	NA	NA
ABarappappp	NA	NA	NA	NA	NA	NA
ABarappp	38	30.5	32.4	32.8	31.5	32.1
ABarapppa	48	44.4	48.2	46.4	44.2	45.2
ABarapppaa	73	88.8	75.2	89.7	82.6	83.2
ABarapppaaa	NA	NA	NA	NA	NA	NA
ABarapppaap	NA	NA	NA	NA	NA	NA
ABarapppap	73	78.7	77.1	81.9	81	74.4
ABarapppapa	NA	NA	NA	NA	NA	NA
ABarapppapp	NA	NA	NA	NA	NA	NA
ABarapppp	47	44.4	44.6	44.9	44.2	41.9
ABarappppa	74	82.1	82.4	80.3	87.4	84.7
ABarappppaa	NA	NA	NA	NA	NA	NA
ABarappppap	NA	NA	NA	NA	NA	NA
ABarappppp	69	72.1	67.7	66.5	71.4	69.1
ABarapppppa	114	NA	NA	NA	NA	NA
ABarapppppaa	NA	NA	NA	NA	NA	NA
ABarapppppap	NA	NA	NA	NA	NA	NA
ABarapppppp	NA	NA	NA	NA	NA	NA
ABarp	21	13.7	13.6	12.3	12.9	14.4
ABarpa	29	21.4	24	21.9	22.8	24.1
ABarpaa	28	24.3	25.6	21.9	22.9	24
ABarpaaa	38	39.7	42.8	43.9	40.1	40.1
ABarpaaaa	67	47.8	50	49.6	45.8	45.3
ABarpaaaaa	79	106.5	107.7	125.3	127.4	106.7
ABarpaaaaal	NA	NA	NA	NA	NA	NA
ABarpaaaaar	NA	NA	NA	NA	NA	NA
ABarpaaaap	79	99.7	88.8	101.4	114.1	90.6
ABarpaaaapa	NA	NA	NA	NA	NA	NA
ABarpaaaapp	NA	NA	NA	NA	NA	NA
ABarpaaap	67	52.4	53.5	55.4	53.5	55.3
ABarpaaapa	74	86.4	89.1	NA	106.5	102.1
ABarpaaapaa	NA	NA	NA	NA	NA	NA
ABarpaaapap	NA	NA	NA	NA	NA	NA
ABarpaaapp	NA	NA	NA	NA	NA	NA
ABarpaap	38	33.6	34.1	31.5	31.5	33.7
ABarpaapa	47	46	41.2	41.8	39.5	40.3
ABarpaapaa	NA	NA	NA	NA	NA	NA
ABarpaapap	NA	NA	NA	NA	NA	NA
ABarpaapp	42	46	46.5	41.8	39.5	43.5
ABarpaappa	NA	NA	NA	NA	NA	NA
ABarpaappp	NA	NA	NA	NA	NA	NA
ABarpap	28	24.3	27.4	23.3	24.3	25.6
ABarpapa	38	30.5	35.9	30.1	31.5	32.1
ABarpapaa	58	45.9	46.5	50.4	45.6	50.2
ABarpapaaa	88	107.2	82.6	103.6	105.2	99.4
ABarpapaaaa	NA	NA	NA	NA	NA	NA
ABarpapaaap	NA	NA	NA	NA	NA	NA
ABarpapaap	58	68.8	64.2	69.6	60	64.3
ABarpapaapa	NA	NA	NA	NA	NA	NA
ABarpapaapp	90	NA	110	NA	NA	NA
ABarpapaappa	NA	NA	NA	NA	NA	NA
ABarpapaappp	NA	NA	NA	NA	NA	NA
ABarpapap	57	52.2	51.7	47.6	45.6	50.2
ABarpapapa	NA	NA	NA	NA	NA	NA
ABarpapapp	NA	NA	NA	NA	NA	NA
ABarpapp	38	33.6	37.6	32.8	31.5	35.3
ABarpappa	67	42.9	51.7	49.1	50	48.6
ABarpappaa	NA	NA	NA	NA	NA	NA
ABarpappap	NA	NA	NA	NA	NA	NA
ABarpappp	47	46	44.6	43.4	41.1	43.6
ABarpapppa	NA	NA	NA	NA	NA	NA
ABarpapppp	NA	NA	NA	NA	NA	NA
ABarpp	29	22.9	25.7	21.9	22.8	24.1
ABarppa	28	24.3	27.4	23.3	25.8	25.6
ABarppaa	38	39.7	39.4	35.6	41.6	36.9
ABarppaaa	62	57.2	60.6	59.4	64.3	53.6
ABarppaaaa	NA	NA	NA	NA	NA	NA
ABarppaaap	NA	NA	NA	NA	NA	NA
ABarppaap	57	55.7	55.2	53.6	55.2	46.9
ABarppaapa	NA	NA	NA	NA	NA	NA
ABarppaapp	204	NA	NA	NA	NA	NA
ABarppaappa	NA	NA	NA	NA	NA	NA
ABarppaappp	NA	NA	NA	NA	NA	NA
ABarppap	38	44.2	42.8	38.3	40.1	44.9
ABarppapa	57	96.2	91.1	49.4	49.1	NA
ABarppapaa	NA	NA	NA	NA	NA	NA
ABarppapap	NA	NA	NA	NA	NA	NA
ABarppapp	57	NA	NA	48	62.8	NA
ABarppappa	NA	NA	NA	NA	NA	NA
ABarppappp	NA	NA	NA	NA	NA	NA
ABarppp	28	24.3	29.1	23.3	25.8	27.2
ABarpppa	38	38.1	37.7	36.9	37.3	38.5
ABarpppaa	62	54.1	51.7	49.4	58	50.4
ABarpppaaa	NA	NA	NA	NA	NA	NA
ABarpppaap	NA	NA	NA	NA	NA	NA
ABarpppap	57	49.3	50	45	53.5	48.8
ABarpppapa	NA	NA	NA	NA	NA	NA
ABarpppapp	199	NA	NA	NA	NA	NA
ABarpppappa	NA	NA	NA	NA	NA	NA
ABarpppappp	NA	NA	NA	NA	NA	NA
ABarpppp	38	41.2	42.8	41.1	38.7	40.1
ABarppppa	57	52.5	NA	NA	49	52.1
ABarppppaa	NA	NA	NA	NA	NA	NA
ABarppppap	NA	NA	NA	NA	NA	NA
ABarppppp	52	51	NA	NA	50.5	55.5
ABarpppppa	NA	NA	NA	NA	NA	NA
ABarpppppp	NA	NA	NA	NA	NA	NA
ABp	16	NA	NA	NA	NA	NA
ABpl	17	6	8.5	9.5	11.4	8
ABpla	21	12.1	11.9	12.3	14.3	14.4
ABplaa	29	21.4	24	20.5	21.4	24.1
ABplaaa	28	25.8	25.6	24.6	27.2	25.6
ABplaaaa	38	35.1	37.7	31.5	35.8	36.9
ABplaaaaa	57	49.2	46.5	44.8	48.9	46.9
ABplaaaaaa	89	111.3	116.3	NA	107.8	97.7
ABplaaaaaaa	NA	NA	NA	NA	NA	NA
ABplaaaaaap	NA	NA	NA	NA	NA	NA
ABplaaaaap	64	67.7	66.1	69.4	68.6	66.1
ABplaaaaapa	NA	NA	NA	NA	NA	NA
ABplaaaaapp	89	NA	113.9	NA	NA	NA
ABplaaaaappa	NA	NA	NA	NA	NA	NA
ABplaaaaappp	NA	NA	NA	NA	NA	NA
ABplaaaap	57	47.7	46.5	44.8	45.8	46.9
ABplaaaapa	NA	NA	NA	NA	NA	NA
