Cell	20081128_sulston	20230224_RW10265_tbx-8_die-1_L4	20230224_RW10265_tbx-8_die-1_L3	20230224_RW10265_tbx-8_die-1_L1	20230223_JIM188_tbx-9_die-1_L4	20230222_JIM188_tbx-9_die-1_L1
ABalpaapapa	NA	NA	NA	NA	NA	NA
ABalpaapapp	NA	NA	NA	NA	NA	NA
ABalpaapp	57	47.3	46.1	47.7	48.8	47.1
ABalpaappa	74	103.4	88.9	87.4	95.7	93.9
ABalpaappaa	NA	NA	NA	NA	NA	NA
ABalpaappap	NA	NA	NA	NA	NA	NA
ABalpaappp	64	77.7	71.8	82.6	87.3	75.8
ABalpaapppa	NA	NA	NA	NA	NA	NA
ABalpaapppp	NA	NA	NA	NA	NA	NA
ABalpap	28	26.6	28.3	24.1	25.3	26.7
ABalpapa	38	34.5	35.3	34	31.2	35.2
ABalpapaa	52	45.8	49.8	46.5	47.2	54.1
ABalpapaaa	59	65.9	68.2	68.7	70.5	76.3
ABalpapaaaa	NA	NA	NA	NA	NA	NA
ABalpapaaap	NA	NA	NA	NA	NA	NA
ABalpapaap	84	89.8	87.3	94.1	93.9	83.7
ABalpapaapa	NA	NA	NA	NA	NA	NA
ABalpapaapp	NA	NA	NA	NA	NA	NA
ABalpapap	52	50.6	49.8	48	47.2	45.5
ABalpapapa	59	71.3	68.2	73.6	70.5	74.1
ABalpapapaa	NA	NA	NA	NA	NA	NA
ABalpapapap	104	NA	NA	NA	NA	NA
ABalpapapapa	NA	NA	NA	NA	NA	NA
ABalpapapapp	NA	NA	NA	NA	NA	NA
ABalpapapp	79	81.6	81.6	89.5	90.5	86.8
ABalpapappa	NA	NA	NA	NA	NA	NA
ABalpapappp	NA	NA	NA	NA	NA	NA
ABalpapp	38	31.4	33.5	29.8	29.7	31.8
ABalpappa	42	39.3	42.6	44.8	44	42.1
ABalpappaa	84	80.6	79.2	79.4	71.9	75.4
ABalpappaaa	NA	NA	NA	NA	NA	NA
ABalpappaap	89	NA	111.9	NA	NA	NA
ABalpappaapa	NA	NA	NA	NA	NA	NA
ABalpappaapp	NA	NA	NA	NA	NA	NA
ABalpappap	54	58.7	58.5	57.5	62	59.3
ABalpappapa	NA	NA	NA	NA	NA	NA
ABalpappapp	NA	NA	NA	NA	NA	NA
ABalpappp	39	40.9	42.6	43.3	39.4	42.1
ABalpapppa	107	118.6	109.8	117.7	118.4	112
ABalpapppaa	NA	NA	NA	NA	NA	NA
ABalpapppap	NA	NA	NA	NA	NA	NA
ABalpapppp	47	50.3	52.9	48.2	48.9	48.6
ABalpappppa	NA	NA	NA	NA	NA	NA
ABalpappppp	NA	NA	NA	NA	NA	NA
ABalpp	29	23.6	24.8	21.3	23.7	25.1
ABalppa	28	28.2	30.1	25.5	26.7	31.7
ABalppaa	38	37.7	42.5	41.2	37.2	40.2
ABalppaaa	62	47.6	48.1	49.8	49.1	52.7
ABalppaaaa	NA	NA	NA	NA	NA	NA
ABalppaaap	64	95.6	91.7	104.8	98	99.1
ABalppaaapa	NA	NA	NA	NA	NA	NA
ABalppaaapp	NA	NA	NA	NA	NA	NA
ABalppaap	57	45.9	51.6	51.3	50.7	52.7
ABalppaapa	NA	NA	NA	NA	NA	NA
ABalppaapp	74	91.9	68.8	91.9	81.2	78.7
ABalppaappa	NA	NA	NA	NA	NA	NA
ABalppaappp	NA	NA	NA	NA	NA	NA
ABalppap	38	34.5	35.3	34	32.7	33.5
ABalppapa	47	44.3	46.2	45	42.7	43.9
ABalppapaa	79	89.8	81.6	84.6	87.1	83.1
ABalppapaaa	NA	NA	NA	NA	NA	NA
ABalppapaap	NA	NA	NA	NA	NA	NA
ABalppapap	74	95	81.6	87.7	83.7	86.8
ABalppapapa	NA	NA	NA	NA	NA	NA
ABalppapapp	NA	NA	NA	NA	NA	NA
ABalppapp	42	42.7	44.5	42.1	41.2	42.2
ABalppappa	74	84.6	83.3	82.8	88.6	92.3
ABalppappaa	NA	NA	NA	NA	NA	NA
ABalppappap	NA	NA	NA	NA	NA	NA
ABalppappp	69	72.7	70	70.1	73.7	70.4
ABalppapppa	124	NA	NA	NA	NA	NA
ABalppapppaa	NA	NA	NA	NA	NA	NA
ABalppapppap	NA	NA	NA	NA	NA	NA
ABalppapppp	NA	NA	NA	NA	NA	NA
ABalppp	28	26.6	28.3	25.5	25.3	28.4
ABalpppa	38	34.5	38.8	34	34.2	35.2
ABalpppaa	62	47.5	51.5	52.5	47.4	49
ABalpppaaa	79	117.8	99.2	94.7	118	94.5
ABalpppaaaa	NA	NA	NA	NA	NA	NA
ABalpppaaap	NA	NA	NA	NA	NA	NA
ABalpppaap	89	96.9	99.2	104.4	106	113.1
ABalpppaapd	NA	NA	NA	NA	NA	NA
ABalpppaapv	NA	NA	NA	NA	NA	NA
ABalpppap	52	45.8	44.3	46.5	41.2	43.9
ABalpppapa	74	86.4	79.7	83.1	82	81.3
ABalpppapad	NA	NA	NA	NA	NA	NA
ABalpppapav	NA	NA	NA	NA	NA	NA
ABalpppapp	59	71	64.5	73.6	82	70.4
ABalpppappa	NA	NA	NA	NA	NA	NA
ABalpppappp	94	NA	81.3	NA	NA	101.1
ABalpppapppa	NA	NA	NA	NA	NA	NA
ABalpppapppp	NA	NA	NA	NA	NA	NA
ABalpppp	38	33	35.3	31.2	32.7	31.8
ABalppppa	48	44.2	46.2	44.9	44.1	45.4
ABalppppaa	68	89.6	94.7	95.5	97.1	75.8
ABalppppaad	NA	NA	NA	NA	NA	NA
ABalppppaav	NA	NA	NA	NA	NA	NA
ABalppppap	78	82.8	79.4	81.2	78.8	83
ABalppppapa	109	NA	NA	NA	NA	NA
ABalppppapaa	NA	NA	NA	NA	NA	NA
ABalppppapap	NA	NA	NA	NA	NA	NA
ABalppppapp	NA	NA	NA	NA	NA	NA
ABalppppp	42	37.8	42.6	39	38	38.6
ABalpppppa	64	75.5	81.2	72.9	75.1	73.4
ABalpppppaa	NA	NA	NA	NA	NA	NA
ABalpppppap	NA	NA	NA	NA	NA	NA
ABalpppppp	44	52	54.8	54.2	55.4	53.8
ABalppppppa	89	80.6	88.4	99.4	83.8	84.1
ABalppppppaa	NA	NA	NA	NA	NA	NA
ABalppppppap	NA	NA	NA	NA	NA	NA
ABalppppppp	89	87.6	88.4	81.2	75.2	86
ABalpppppppa	NA	NA	NA	NA	NA	NA
ABalpppppppp	NA	NA	NA	NA	NA	NA
ABar	17	4.5	8.5	9.5	12.8	8
ABara	21	14.4	14.4	14.4	14.9	15
ABaraa	29	22.5	25.4	20.2	22.2	23.4
ABaraaa	28	30.5	29	27.3	26.8	30
ABaraaaa	38	38.6	39.7	41.8	40.2	38.4
ABaraaaaa	67	50.4	50.9	52	52.5	52.4
ABaraaaaaa	84	94.4	81.7	90.1	91.8	81.9
ABaraaaaaaa	NA	NA	NA	NA	NA	NA
ABaraaaaaap	NA	NA	NA	NA	NA	NA
ABaraaaaap	89	85.6	79.8	86.8	85	89.2
ABaraaaaapa	NA	NA	NA	NA	NA	NA
ABaraaaaapp	NA	NA	NA	NA	NA	NA
ABaraaaap	72	58.7	54.6	59.7	62	61.1
ABaraaaapa	79	100.5	87.9	110.5	97.7	112.1
ABaraaaapaa	NA	NA	NA	NA	NA	NA
ABaraaaapap	NA	NA	NA	NA	NA	NA
ABaraaaapp	NA	NA	NA	NA	NA	NA
ABaraaap	38	30.6	39.7	34.5	31.2	31.7
ABaraaapa	48	38.7	41.6	45.7	39.5	40.3
ABaraaapaa	73	87.9	75.3	95.5	81.8	78.8
ABaraaapaaa	NA	NA	NA	NA	NA	NA
ABaraaapaap	NA	NA	NA	NA	NA	NA
ABaraaapap	58	60.1	58	68.1	60.4	55.5
ABaraaapapa	NA	NA	NA	NA	NA	NA
ABaraaapapp	NA	NA	NA	NA	NA	NA
ABaraaapp	59	50.2	47.2	53.3	45.8	55.6
ABaraaappa	72	86.8	101.1	88	102.4	92.7
ABaraaappaa	NA	NA	NA	NA	NA	NA
ABaraaappap	NA	NA	NA	NA	NA	NA
ABaraaappp	67	88.5	77.5	96.1	97.4	105.6
ABaraaapppa	NA	NA	NA	NA	NA	NA
ABaraaapppp	NA	NA	NA	NA	NA	NA
ABaraap	28	28.9	27	25.9	26.8	28.3
ABaraapa	38	32.2	36.1	34.5	31.2	35.1
ABaraapaa	57	43.6	49.1	45.6	44.2	43.6
ABaraapaaa	69	83	77.4	76.1	87.2	70.1
ABaraapaaaa	NA	NA	NA	NA	NA	NA
ABaraapaaap	NA	NA	NA	NA	NA	NA
ABaraapaap	54	67.3	65.8	61.7	65.6	61.1
ABaraapaapa	NA	NA	NA	NA	NA	NA
ABaraapaapp	NA	NA	NA	NA	NA	NA
ABaraapap	57	42	45.3	45.6	44.2	40.3
ABaraapapa	49	58.5	59.9	58.6	60.7	64.5
ABaraapapaa	129	NA	NA	NA	NA	NA
ABaraapapaad	NA	NA	NA	NA	NA	NA
ABaraapapaav	NA	NA	NA	NA	NA	NA
ABaraapapap	NA	NA	NA	NA	NA	NA
ABaraapapp	94	107.4	96.8	105.2	105.7	100.8
ABaraapappa	NA	NA	NA	NA	NA	NA
ABaraapappp	NA	NA	NA	NA	NA	NA
ABaraapp	38	32.2	36.1	31.7	31.2	31.7
ABaraappa	57	51.9	49.1	51.6	47.4	52.2
ABaraappaa	74	88.7	83.3	89.2	84	84.9
ABaraappaaa	NA	NA	NA	NA	NA	NA
ABaraappaap	NA	NA	NA	NA	NA	NA
ABaraappap	54	64.2	65.8	70	64.1	61.3
ABaraappapa	NA	NA	NA	NA	NA	NA
ABaraappapp	NA	NA	NA	NA	NA	NA
ABaraappp	57	46.9	45.3	51.6	45.8	45.3
ABaraapppa	49	65.7	54.3	57.2	64	73.6
ABaraapppaa	129	NA	NA	NA	NA	NA
ABaraapppaad	NA	NA	NA	NA	NA	NA
ABaraapppaav	NA	NA	NA	NA	NA	NA
ABaraapppap	NA	NA	NA	NA	NA	NA
ABaraapppp	89	88.3	90.9	108.8	102.4	110.2
ABaraappppa	NA	NA	NA	NA	NA	NA
ABaraappppp	NA	NA	NA	NA	NA	NA
ABarap	29	22.5	25.4	21.6	20.7	23.4
ABarapa	28	27.3	29	25.9	28.3	30
ABarapaa	38	33.8	37.9	34.5	34.2	35.1
ABarapaaa	62	46.9	51	50.2	50.6	50.5
ABarapaaaa	84	77.8	77.7	73.3	76.1	74.2
ABarapaaaaa	NA	NA	NA	NA	NA	NA
ABarapaaaap	NA	NA	NA	NA	NA	NA
ABarapaaap	89	91.8	77.7	81.4	82.8	88.8
ABarapaaapa	NA	NA	NA	NA	NA	NA
ABarapaaapp	NA	NA	NA	NA	NA	NA
ABarapaap	57	40.3	43.5	42.8	42.8	42
ABarapaapa	109	100.2	92.8	95.3	97.4	97.3
ABarapaapaa	NA	NA	NA	NA	NA	NA
ABarapaapap	NA	NA	NA	NA	NA	NA
ABarapaapp	54	60.1	58	60.1	52.6	54
ABarapaappa	NA	NA	NA	NA	NA	NA
ABarapaappp	NA	NA	NA	NA	NA	NA
ABarapap	38	32.2	36.1	31.7	31.2	31.7
ABarapapa	42	41.9	45.3	42.6	47.4	42
ABarapapaa	89	86.2	77.3	79	89	77.1
ABarapapaaa	NA	NA	NA	NA	NA	NA
ABarapapaap	84	NA	116.5	NA	NA	89.2
ABarapapaapa	NA	NA	NA	NA	NA	NA
ABarapapaapp	NA	NA	NA	NA	NA	NA
ABarapapap	64	72.2	67.6	69.5	77.4	68.1
ABarapapapa	NA	NA	NA	NA	NA	NA
ABarapapapp	NA	NA	NA	NA	NA	NA
ABarapapp	38	40.3	43.5	41.1	42.7	42
ABarapappa	108	130.4	122.4	NA	129.5	147.3
ABarapappaa	NA	NA	NA	NA	NA	NA
ABarapappap	NA	NA	NA	NA	NA	NA
ABarapappp	48	60.1	59.9	48.9	50.8	50.3
ABarapapppa	NA	NA	NA	NA	NA	NA
ABarapapppp	NA	NA	NA	NA	NA	NA
ABarapp	28	28.9	29	27.3	29.7	28.3
ABarappa	38	35.4	36.1	36	34.2	35.1
ABarappaa	57	47	50.9	48.9	50.6	48.9
ABarappaaa	74	86.8	85.3	89.5	84.6	81.2
ABarappaaaa	NA	NA	NA	NA	NA	NA
ABarappaaap	NA	NA	NA	NA	NA	NA
ABarappaap	84	95.6	83.4	92.8	93	83.1
ABarappaapa	NA	NA	NA	NA	NA	NA
ABarappaapp	NA	NA	NA	NA	NA	NA
ABarappap	47	48.7	50.9	45.8	44.4	45.4
ABarappapa	74	74.7	67.9	71.6	79.1	72
ABarappapaa	NA	NA	NA	NA	NA	NA
ABarappapap	109	NA	NA	NA	NA	NA
ABarappapapa	NA	NA	NA	NA	NA	NA
ABarappapapp	NA	NA	NA	NA	NA	NA
ABarappapp	79	86.9	75.6	81.3	87.6	81.1
ABarappappa	NA	NA	NA	NA	NA	NA
ABarappappp	NA	NA	NA	NA	NA	NA
ABarappp	38	32.2	34.3	34.5	32.7	33.4
ABarapppa	48	46.9	50.9	48.8	46	47.1
ABarapppaa	73	93.7	79.4	94.3	85.9	86.5
ABarapppaaa	NA	NA	NA	NA	NA	NA
ABarapppaap	NA	NA	NA	NA	NA	NA
ABarapppap	73	83.1	81.5	86.1	84.2	77.4
ABarapppapa	NA	NA	NA	NA	NA	NA
ABarapppapp	NA	NA	NA	NA	NA	NA
ABarapppp	47	46.9	47.2	47.3	46	43.6
ABarappppa	74	86.6	87	84.4	90.9	88.1
ABarappppaa	NA	NA	NA	NA	NA	NA
ABarappppap	NA	NA	NA	NA	NA	NA
ABarappppp	69	76.1	71.5	70	74.2	71.9
ABarapppppa	114	NA	NA	NA	NA	NA
ABarapppppaa	NA	NA	NA	NA	NA	NA
ABarapppppap	NA	NA	NA	NA	NA	NA
ABarapppppp	NA	NA	NA	NA	NA	NA
ABarp	21	13.9	13.6	12.4	12.7	14.7
ABarpa	29	21.8	23.9	22	22.5	24.6
ABarpaa	28	24.8	25.5	22	22.6	24.5
ABarpaaa	38	40.4	42.7	44.1	39.7	41
ABarpaaaa	67	48.7	49.9	49.9	45.3	46.3
ABarpaaaaa	79	108.6	107.4	126.1	125.9	108.9
ABarpaaaaal	NA	NA	NA	NA	NA	NA
ABarpaaaaar	NA	NA	NA	NA	NA	NA
ABarpaaaap	79	101.7	88.7	102.1	112.8	92.6
ABarpaaaapa	NA	NA	NA	NA	NA	NA
ABarpaaaapp	NA	NA	NA	NA	NA	NA
ABarpaaap	67	53.5	53.4	55.8	52.8	56.5
ABarpaaapa	74	88.1	88.9	NA	105.2	104.2
ABarpaaapaa	NA	NA	NA	NA	NA	NA
ABarpaaapap	NA	NA	NA	NA	NA	NA
ABarpaaapp	NA	NA	NA	NA	NA	NA
ABarpaap	38	34.2	34.1	31.7	31.1	34.4
ABarpaapa	47	47	41.1	42.1	39	41.2
ABarpaapaa	NA	NA	NA	NA	NA	NA
ABarpaapap	NA	NA	NA	NA	NA	NA
ABarpaapp	42	47	46.4	42.1	39	44.5
ABarpaappa	NA	NA	NA	NA	NA	NA
ABarpaappp	NA	NA	NA	NA	NA	NA
ABarpap	28	24.8	27.4	23.4	24	26.1
ABarpapa	38	31.1	35.8	30.3	31.1	32.8
ABarpapaa	58	46.9	46.4	50.7	45	51.2
ABarpapaaa	88	109.3	82.4	104.2	103.9	101.5
ABarpapaaaa	NA	NA	NA	NA	NA	NA
ABarpapaaap	NA	NA	NA	NA	NA	NA
ABarpapaap	58	70.2	64.1	70.1	59.3	65.6
ABarpapaapa	NA	NA	NA	NA	NA	NA
ABarpapaapp	90	NA	109.8	NA	NA	NA
ABarpapaappa	NA	NA	NA	NA	NA	NA
ABarpapaappp	NA	NA	NA	NA	NA	NA
ABarpapap	57	53.3	51.6	47.9	45	51.2
ABarpapapa	NA	NA	NA	NA	NA	NA
ABarpapapp	NA	NA	NA	NA	NA	NA
ABarpapp	38	34.2	37.5	33	31.1	36.1
ABarpappa	67	43.8	51.6	49.4	49.4	49.6
ABarpappaa	NA	NA	NA	NA	NA	NA
ABarpappap	NA	NA	NA	NA	NA	NA
ABarpappp	47	47	44.5	43.7	40.6	44.6
ABarpapppa	NA	NA	NA	NA	NA	NA
ABarpapppp	NA	NA	NA	NA	NA	NA
ABarpp	29	23.4	25.7	22	22.5	24.6
ABarppa	28	24.8	27.4	23.4	25.4	26.1
ABarppaa	38	40.4	39.3	35.8	41.1	37.7
ABarppaaa	62	58.4	60.5	59.8	63.6	54.7
ABarppaaaa	NA	NA	NA	NA	NA	NA
ABarppaaap	NA	NA	NA	NA	NA	NA
ABarppaap	57	56.8	55.1	53.9	54.5	48
ABarppaapa	NA	NA	NA	NA	NA	NA
ABarppaapp	204	NA	NA	NA	NA	NA
ABarppaappa	NA	NA	NA	NA	NA	NA
ABarppaappp	NA	NA	NA	NA	NA	NA
ABarppap	38	45.1	42.7	38.5	39.7	45.9
ABarppapa	57	98.1	90.9	49.7	48.5	NA
ABarppapaa	NA	NA	NA	NA	NA	NA
ABarppapap	NA	NA	NA	NA	NA	NA
ABarppapp	57	NA	NA	48.3	62.1	NA
ABarppappa	NA	NA	NA	NA	NA	NA
ABarppappp	NA	NA	NA	NA	NA	NA
ABarppp	28	24.8	29.1	23.4	25.4	27.8
ABarpppa	38	38.9	37.6	37.2	36.8	39.3
ABarpppaa	62	55.2	51.6	49.7	57.3	51.4
ABarpppaaa	NA	NA	NA	NA	NA	NA
ABarpppaap	NA	NA	NA	NA	NA	NA
ABarpppap	57	50.3	49.9	45.3	52.8	49.8
ABarpppapa	NA	NA	NA	NA	NA	NA
ABarpppapp	199	NA	NA	NA	NA	NA
ABarpppappa	NA	NA	NA	NA	NA	NA
ABarpppappp	NA	NA	NA	NA	NA	NA
ABarpppp	38	42	42.7	41.4	38.2	41
ABarppppa	57	53.6	NA	NA	48.4	53.2
ABarppppaa	NA	NA	NA	NA	NA	NA
ABarppppap	NA	NA	NA	NA	NA	NA
ABarppppp	52	52	NA	NA	49.9	56.7
ABarpppppa	NA	NA	NA	NA	NA	NA
ABarpppppp	NA	NA	NA	NA	NA	NA
ABp	16	NA	NA	NA	NA	NA
ABpl	17	6	8.5	9.5	11.4	8
ABpla	21	11.9	11.6	12.5	14.2	14.5
ABplaa	29	21	23.4	20.9	21.2	24.3
ABplaaa	28	25.4	25	25	27	25.8
ABplaaaa	38	34.5	36.8	32	35.6	37.2
ABplaaaaa	57	48.3	45.4	45.5	48.6	47.4
ABplaaaaaa	89	109.4	113.6	NA	107.1	98.6
ABplaaaaaaa	NA	NA	NA	NA	NA	NA
ABplaaaaaap	NA	NA	NA	NA	NA	NA
ABplaaaaap	64	66.5	64.5	70.5	68.2	66.7
ABplaaaaapa	NA	NA	NA	NA	NA	NA
ABplaaaaapp	89	NA	111.3	NA	NA	NA
ABplaaaaappa	NA	NA	NA	NA	NA	NA
ABplaaaaappp	NA	NA	NA	NA	NA	NA
ABplaaaap	57	46.8	45.4	45.5	45.5	47.4
ABplaaaapa	NA	NA	NA	NA	NA	NA
ABplaaaapp	NA	NA	NA	NA	NA	NA
