Cell	20081128_sulston	20221004_JIM712_ceh-32_L4	20221004_JIM712_ceh-32_L2	20220915_JIM712_ceh-32_L4	20220923_JIM712_ceh-32_L4
ABaraaapp	59	52.9	51.3	54.3	55
ABaraaappa	72	89.1	89.6	85.7	89.3
ABaraaappaa	NA	NA	NA	NA	NA
ABaraaappap	NA	NA	NA	NA	NA
ABaraaappp	67	71	78.6	74.5	79.6
ABaraaapppa	NA	NA	NA	NA	NA
ABaraaapppp	NA	NA	NA	NA	NA
ABaraap	28	30.9	30	31.8	27.3
ABaraapa	38	38.1	36.8	37.5	37.5
ABaraapaa	57	46.1	47.9	48.8	46
ABaraapaaa	69	85.1	80.3	71.5	87.3
ABaraapaaaa	NA	NA	NA	NA	NA
ABaraapaaap	NA	NA	NA	NA	NA
ABaraapaap	54	65.3	67.5	63.2	66.5
ABaraapaapa	NA	NA	NA	NA	NA
ABaraapaapp	NA	NA	NA	NA	NA
ABaraapap	57	46.1	46.1	46.1	41.5
ABaraapapa	49	52.8	60.2	57.7	50.6
ABaraapapaa	129	NA	NA	NA	NA
ABaraapapaad	NA	NA	NA	NA	NA
ABaraapapaav	NA	NA	NA	NA	NA
ABaraapapap	NA	NA	NA	NA	NA
ABaraapapp	94	101.6	82.1	93.8	104.6
ABaraapappa	NA	NA	NA	NA	NA
ABaraapappp	NA	NA	NA	NA	NA
ABaraapp	38	36.3	35	34.8	34.5
ABaraappa	57	47.7	47.8	48.8	42.9
ABaraappaa	74	79.7	80.3	74.3	91.7
ABaraappaaa	NA	NA	NA	NA	NA
ABaraappaap	NA	NA	NA	NA	NA
ABaraappap	54	67.1	65.7	63.2	61.6
ABaraappapa	NA	NA	NA	NA	NA
ABaraappapp	NA	NA	NA	NA	NA
ABaraappp	57	44.2	44.3	48.8	42.9
ABaraapppa	49	58	63.7	60.4	50.5
ABaraapppaa	129	NA	NA	NA	NA
ABaraapppaad	NA	NA	NA	NA	NA
ABaraapppaav	NA	NA	NA	NA	NA
ABaraapppap	NA	NA	NA	NA	NA
ABaraapppp	89	97.8	91.1	85.4	109.4
ABaraappppa	NA	NA	NA	NA	NA
ABaraappppp	NA	NA	NA	NA	NA
ABarap	29	26	26.7	23.7	23
ABarapa	28	29.2	31.7	31.8	27.3
ABarapaa	38	39.7	36.8	37.5	37.5
ABarapaaa	62	56.5	51.4	51.6	52.1
ABarapaaaa	84	82.1	77	71.6	91
ABarapaaaaa	NA	NA	NA	NA	NA
ABarapaaaap	NA	NA	NA	NA	NA
ABarapaaap	89	87.5	91.6	82.8	99
ABarapaaapa	NA	NA	NA	NA	NA
ABarapaaapp	NA	NA	NA	NA	NA
ABarapaap	57	44.3	46.2	46.1	41.6
ABarapaapa	109	NA	93.2	88.2	116.1
ABarapaapaa	NA	NA	NA	NA	NA
ABarapaapap	NA	NA	NA	NA	NA
ABarapaapp	54	59.9	58.4	79.9	58.6
ABarapaappa	NA	NA	NA	NA	NA
ABarapaappp	NA	NA	NA	NA	NA
ABarapap	38	36.3	33.4	34.8	34.5
ABarapapa	42	44.2	46.1	46	42.9
ABarapapaa	89	72.3	83.9	77	80.6
ABarapapaaa	NA	NA	NA	NA	NA
ABarapapaap	84	NA	NA	NA	NA
ABarapapaapa	NA	NA	NA	NA	NA
ABarapapaapp	NA	NA	NA	NA	NA
ABarapapap	64	58	71.1	68.6	64.7
ABarapapapa	NA	NA	NA	NA	NA
ABarapapapp	NA	NA	NA	NA	NA
ABarapapp	38	42.5	44.3	43.4	39.9
ABarapappa	108	NA	113.2	118.8	135.3
ABarapappaa	NA	NA	NA	NA	NA
ABarapappap	NA	NA	NA	NA	NA
ABarapappp	48	54.4	54.7	54.8	49
ABarapapppa	NA	NA	NA	NA	NA
ABarapapppp	NA	NA	NA	NA	NA
ABarapp	28	30.9	30	31.8	27.3
ABarappa	38	39.7	38.5	42.9	37.5
ABarappaa	57	53	53.2	48.8	52.1
ABarappaaa	74	89.2	88	77.2	86.1
ABarappaaaa	NA	NA	NA	NA	NA
ABarappaaap	NA	NA	NA	NA	NA
ABarappaap	84	78.3	95.4	80	82.9
ABarappaapa	NA	NA	NA	NA	NA
ABarappaapp	NA	NA	NA	NA	NA
ABarappap	47	49.5	51.4	51.6	44.6
ABarappapa	74	69.1	73.3	71.7	71.3
ABarappapaa	NA	NA	NA	NA	NA
ABarappapap	109	NA	NA	NA	NA
ABarappapapa	NA	NA	NA	NA	NA
ABarappapapp	NA	NA	NA	NA	NA
ABarappapp	79	76.4	82.4	71.7	77.7
ABarappappa	NA	NA	NA	NA	NA
ABarappappp	NA	NA	NA	NA	NA
ABarappp	38	36.3	33.4	34.8	34.5
ABarapppa	48	51.1	51.3	48.8	49
ABarapppaa	73	85.4	85.9	85.4	81
ABarapppaaa	NA	NA	NA	NA	NA
ABarapppaap	NA	NA	NA	NA	NA
ABarapppap	73	76.3	78.5	82.7	77.7
ABarapppapa	NA	NA	NA	NA	NA
ABarapppapp	NA	NA	NA	NA	NA
ABarapppp	47	44.2	47.9	46	44.5
ABarappppa	74	77.8	93.1	85.3	82.3
ABarappppaa	NA	NA	NA	NA	NA
ABarappppap	NA	NA	NA	NA	NA
ABarappppp	69	63.4	72.9	77	71.2
ABarapppppa	114	NA	NA	NA	NA
ABarapppppaa	NA	NA	NA	NA	NA
ABarapppppap	NA	NA	NA	NA	NA
ABarapppppp	NA	NA	NA	NA	NA
ABarp	21	16.8	17.1	15.5	14.9
ABarpa	29	26.8	27.5	25.9	22.5
ABarpaa	28	28.4	29.2	26.1	28.5
ABarpaaa	38	51.3	46.4	47.7	45.2
ABarpaaaa	67	53.1	51.3	51	54.6
ABarpaaaaa	79	NA	83.1	87.6	107
ABarpaaaaal	NA	NA	NA	NA	NA
ABarpaaaaar	NA	NA	NA	NA	NA
ABarpaaaap	79	75.4	81.1	82	78.4
ABarpaaaapa	NA	NA	NA	NA	NA
ABarpaaaapp	NA	NA	NA	NA	NA
ABarpaaap	67	62.1	54.9	56.4	57.8
ABarpaaapa	74	NA	85.1	79.4	100.4
ABarpaaapaa	NA	NA	NA	NA	NA
ABarpaaapap	NA	NA	NA	NA	NA
ABarpaaapp	NA	NA	NA	NA	NA
ABarpaap	38	39.2	37.7	37	37.5
ABarpaapa	47	52.7	45.6	53.7	44.8
ABarpaapaa	NA	NA	NA	NA	NA
ABarpaapap	NA	NA	NA	NA	NA
ABarpaapp	42	51	47.4	50.9	44.8
ABarpaappa	NA	NA	NA	NA	NA
ABarpaappp	NA	NA	NA	NA	NA
ABarpap	28	30.1	30.9	26.1	29.9
ABarpapa	38	37.4	41.3	37	37.6
ABarpapaa	58	54.5	53	50.9	51.2
ABarpapaaa	88	89.9	84.9	90	64.6
ABarpapaaaa	NA	NA	NA	NA	NA
ABarpapaaap	NA	NA	NA	NA	NA
ABarpapaap	58	58.2	64.1	65.2	61.3
ABarpapaapa	NA	NA	NA	NA	NA
ABarpapaapp	90	NA	NA	NA	NA
ABarpapaappa	NA	NA	NA	NA	NA
ABarpapaappp	NA	NA	NA	NA	NA
ABarpapap	57	51	51.2	48.3	48
ABarpapapa	NA	NA	NA	NA	NA
ABarpapapp	NA	NA	NA	NA	NA
ABarpapp	38	37.4	41.3	37	39.1
ABarpappa	67	59.9	54.9	50.9	52.8
ABarpappaa	NA	NA	NA	NA	NA
ABarpappap	NA	NA	NA	NA	NA
ABarpappp	47	49.2	47.7	48.3	48.1
ABarpapppa	NA	NA	NA	NA	NA
ABarpapppp	NA	NA	NA	NA	NA
ABarpp	29	30.2	30.9	28.6	24
ABarppa	28	28.5	29.2	26.1	27
ABarppaa	38	42.7	43	42.4	48.3
ABarppaaa	62	58.3	56.7	51	56.3
ABarppaaaa	NA	NA	NA	NA	NA
ABarppaaap	NA	NA	NA	NA	NA
ABarppaap	57	53	51.3	45.6	53.1
ABarppaapa	NA	NA	NA	NA	NA
ABarppaapp	204	NA	NA	NA	NA
ABarppaappa	NA	NA	NA	NA	NA
ABarppaappp	NA	NA	NA	NA	NA
ABarppap	38	42.7	48.2	45.1	45.2
ABarppapa	57	58.3	55.2	53.8	53
ABarppapaa	NA	NA	NA	NA	NA
ABarppapap	NA	NA	NA	NA	NA
ABarppapp	57	60.1	55.2	53.8	54.6
ABarppappa	NA	NA	NA	NA	NA
ABarppappp	NA	NA	NA	NA	NA
ABarppp	28	30.2	29.2	26.1	28.5
ABarpppa	38	41	41.3	39.7	40.6
ABarpppaa	62	53	56.7	50.9	57.6
ABarpppaaa	NA	NA	NA	NA	NA
ABarpppaap	NA	NA	NA	NA	NA
ABarpppap	57	49.4	51.3	45.5	48.1
ABarpppapa	NA	NA	NA	NA	NA
ABarpppapp	199	NA	NA	NA	NA
ABarpppappa	NA	NA	NA	NA	NA
ABarpppappp	NA	NA	NA	NA	NA
ABarpppp	38	41	48.2	42.4	42.2
ABarppppa	57	54.7	53.4	53.7	60.8
ABarppppaa	NA	NA	NA	NA	NA
ABarppppap	NA	NA	NA	NA	NA
ABarppppp	52	58.3	55.2	53.7	59.2
ABarpppppa	NA	NA	NA	NA	NA
ABarpppppp	NA	NA	NA	NA	NA
ABp	16	13	NA	NA	NA
ABpl	17	16.3	3.3	5.1	5.8
ABpla	21	16.1	16	15.5	14.7
ABplaa	29	22.5	24.2	23.4	20.7
ABplaaa	28	30.4	27.4	28.8	28.1
ABplaaaa	38	37.6	42	42.3	35.5
ABplaaaaa	57	50.5	49.8	50.9	48.8
ABplaaaaaa	89	91.4	94.1	90.2	99.5
ABplaaaaaaa	NA	NA	NA	NA	NA
ABplaaaaaap	NA	NA	NA	NA	NA
ABplaaaaap	64	66.3	63.8	59.8	66.8
ABplaaaaapa	NA	NA	NA	NA	NA
ABplaaaaapp	89	NA	NA	NA	NA
ABplaaaaappa	NA	NA	NA	NA	NA
ABplaaaaappp	NA	NA	NA	NA	NA
ABplaaaap	57	52.2	53.3	53.7	48.8
ABplaaaapa	NA	NA	NA	NA	NA
ABplaaaapp	NA	NA	NA	NA	NA
ABplaaap	38	37.6	40.4	42.3	43
ABplaaapa	67	60.7	53.2	48.3	52
ABplaaapaa	NA	NA	NA	NA	NA
ABplaaapap	NA	NA	NA	NA	NA
ABplaaapp	52	52.2	48	48.3	49
ABplaaappa	NA	NA	NA	NA	NA
ABplaaappp	NA	NA	NA	NA	NA
ABplaap	28	30.4	27.4	26.2	26.6
ABplaapa	38	37.6	37.1	42.3	37
ABplaapaa	57	52.2	46.2	45.6	48.8
ABplaapaaa	79	82.4	82.9	79	91.3
ABplaapaaaa	NA	NA	NA	NA	NA
ABplaapaaap	NA	NA	NA	NA	NA
ABplaapaap	59	68.1	70.6	70.7	71.6
ABplaapaapa	NA	NA	NA	NA	NA
ABplaapaapp	NA	NA	NA	NA	NA
ABplaapap	57	48.8	47.9	45.6	44.1
ABplaapapa	79	80.5	84.7	81.8	89.3
ABplaapapaa	NA	NA	NA	NA	NA
ABplaapapap	NA	NA	NA	NA	NA
ABplaapapp	54	62.7	68.8	59.7	61.7
ABplaapappa	NA	NA	NA	NA	NA
ABplaapappp	109	NA	NA	NA	NA
ABplaapapppa	NA	NA	NA	NA	NA
ABplaapapppp	NA	NA	NA	NA	NA
ABplaapp	38	34.2	33.9	39.7	35.5
ABplaappa	57	57.2	46.2	48.3	53.3
ABplaappaa	NA	NA	NA	NA	NA
ABplaappap	NA	NA	NA	NA	NA
ABplaappp	42	48.7	44.5	48.3	47.1
ABplaapppa	NA	NA	NA	NA	NA
ABplaapppp	NA	NA	NA	NA	NA
ABplap	29	24.1	24.2	23.4	22.2
ABplapa	28	28.8	27.4	28.8	26.6
ABplapaa	38	37.6	37.1	37.1	38.5
ABplapaaa	47	48.8	46.2	45.5	48.8
ABplapaaaa	89	78.7	79.4	76.1	83.2
ABplapaaaaa	NA	NA	NA	NA	NA
ABplapaaaap	109	NA	NA	NA	NA
ABplapaaaapa	NA	NA	NA	NA	NA
ABplapaaaapp	NA	NA	NA	NA	NA
ABplapaaap	84	85.8	77.6	78.9	88.1
ABplapaaapa	114	NA	NA	NA	NA
ABplapaaapad	NA	NA	NA	NA	NA
ABplapaaapav	NA	NA	NA	NA	NA
ABplapaaapp	NA	NA	NA	NA	NA
ABplapaap	47	52.2	54.7	50.9	55
ABplapaapa	NA	NA	NA	NA	NA
ABplapaapp	NA	NA	NA	NA	NA
ABplapap	38	34.2	35.5	34.4	34.1
ABplapapa	42	48.7	49.6	53.6	48.7
ABplapapaa	334	NA	NA	NA	NA
ABplapapaaa	NA	NA	NA	NA	NA
ABplapapaap	NA	NA	NA	NA	NA
ABplapapap	NA	NA	NA	NA	NA
ABplapapp	42	47	44.6	45.5	47.1
ABplapappa	NA	NA	NA	NA	NA
ABplapappp	84	87.4	93.3	84.4	82.8
ABplapapppa	NA	NA	NA	NA	NA
ABplapapppp	94	NA	NA	NA	NA
ABplapappppa	84	NA	NA	NA	NA
ABplapappppaa	NA	NA	NA	NA	NA
ABplapappppap	NA	NA	NA	NA	NA
ABplapappppp	NA	NA	NA	NA	NA
ABplapp	28	28.8	29	28.8	28.1
ABplappa	38	39.2	38.8	42.3	35.5
ABplappaa	42	50.5	46.4	48.3	47.3
ABplappaaa	NA	NA	NA	NA	NA
