Cell	20081128_sulston	20221004_JIM712_ceh-32_L4	20221004_JIM712_ceh-32_L2	20220915_JIM712_ceh-32_L4	20220923_JIM712_ceh-32_L4
ABalappppap	NA	NA	NA	NA	NA
ABalappppp	74	62	64.3	61.7	77.9
ABalapppppa	NA	NA	NA	NA	NA
ABalapppppp	NA	NA	NA	NA	NA
ABalp	21	15.1	16.5	14	15
ABalpa	29	24.1	22.6	21.3	24.1
ABalpaa	28	27	25.6	28.6	28.6
ABalpaaa	38	38.2	36.2	36	43.8
ABalpaaaa	62	50.5	48	51.1	58
ABalpaaaaa	84	72.5	74.4	62	94
ABalpaaaaaa	NA	NA	NA	NA	NA
ABalpaaaaap	NA	NA	NA	NA	NA
ABalpaaaap	84	74.1	62.8	69.5	112.8
ABalpaaaapa	NA	NA	NA	NA	NA
ABalpaaaapp	NA	NA	NA	NA	NA
ABalpaaap	62	47.4	51.1	46.3	61.2
ABalpaaapa	109	82.4	76.2	71.8	111.2
ABalpaaapaa	NA	NA	NA	NA	NA
ABalpaaapap	NA	NA	NA	NA	NA
ABalpaaapp	104	NA	86.2	69.3	102.7
ABalpaaappa	NA	NA	NA	NA	NA
ABalpaaappp	NA	NA	NA	NA	NA
ABalpaap	38	32	31.5	28.8	33.2
ABalpaapa	48	39.1	38.5	38.8	41.7
ABalpaapaa	78	66.7	63.8	61.6	75.7
ABalpaapaaa	NA	NA	NA	NA	NA
ABalpaapaap	NA	NA	NA	NA	NA
ABalpaapap	58	48.6	44.3	44.3	59.2
ABalpaapapa	NA	NA	NA	NA	NA
ABalpaapapp	NA	NA	NA	NA	NA
ABalpaapp	57	44	46.3	43.8	51.1
ABalpaappa	74	80.3	75.7	71.6	99.6
ABalpaappaa	NA	NA	NA	NA	NA
ABalpaappap	NA	NA	NA	NA	NA
ABalpaappp	64	66.9	72.4	64.1	76.3
ABalpaapppa	NA	NA	NA	NA	NA
ABalpaapppp	NA	NA	NA	NA	NA
ABalpap	28	27	25.6	26.1	28.6
ABalpapa	38	35.1	31.5	33.7	40.8
ABalpapaa	52	45.6	44.7	46.3	53
ABalpapaaa	59	60.3	64.1	59.2	81.8
ABalpapaaaa	NA	NA	NA	NA	NA
ABalpapaaap	NA	NA	NA	NA	NA
ABalpapaap	84	70.3	75.7	71.7	76.8
ABalpapaapa	NA	NA	NA	NA	NA
ABalpapaapp	NA	NA	NA	NA	NA
ABalpapap	52	45.6	43.2	43.9	51.4
ABalpapapa	59	62.1	65.6	64.2	73.4
ABalpapapaa	NA	NA	NA	NA	NA
ABalpapapap	104	NA	NA	NA	NA
ABalpapapapa	NA	NA	NA	NA	NA
ABalpapapapp	NA	NA	NA	NA	NA
ABalpapapp	79	58.7	67.4	64.2	91.7
ABalpapappa	NA	NA	NA	NA	NA
ABalpapappp	NA	NA	NA	NA	NA
ABalpapp	38	32	30	31.3	36.2
ABalpappa	42	39.1	38.3	38.8	41.8
ABalpappaa	84	70	67	66.6	82.6
ABalpappaaa	NA	NA	NA	NA	NA
ABalpappaap	89	NA	NA	NA	NA
ABalpappaapa	NA	NA	NA	NA	NA
ABalpappaapp	NA	NA	NA	NA	NA
ABalpappap	54	50.2	55.6	49.2	57.7
ABalpappapa	NA	NA	NA	NA	NA
ABalpappapp	NA	NA	NA	NA	NA
ABalpappp	39	44	40	41.3	43.4
ABalpapppa	107	NA	101.8	94.3	126.3
ABalpapppaa	NA	NA	NA	NA	NA
ABalpapppap	NA	NA	NA	NA	NA
ABalpapppp	47	48.6	44.3	44.3	59.5
ABalpappppa	NA	NA	NA	NA	NA
ABalpappppp	NA	NA	NA	NA	NA
ABalpp	29	25.6	21.1	21.3	24.1
ABalppa	28	27	28.6	26.1	28.6
ABalppaa	38	38.3	39.2	36	45.3
ABalppaaa	62	55.5	48	48.8	58
ABalppaaaa	NA	NA	NA	NA	NA
ABalppaaap	64	NA	69.7	66.8	77.1
ABalppaaapa	NA	NA	NA	NA	NA
ABalppaaapp	NA	NA	NA	NA	NA
ABalppaap	57	47.5	46.5	48.8	50
ABalppaapa	NA	NA	NA	NA	NA
ABalppaapp	74	62.4	69.6	61.8	78.5
ABalppaappa	NA	NA	NA	NA	NA
ABalppaappp	NA	NA	NA	NA	NA
ABalppap	38	32.1	31.5	31.3	37.8
ABalppapa	47	40.9	43	43.8	48.1
ABalppapaa	79	70.1	77.3	74.1	79.6
ABalppapaaa	NA	NA	NA	NA	NA
ABalppapaap	NA	NA	NA	NA	NA
ABalppapap	74	65.1	72.4	66.6	84.6
ABalppapapa	NA	NA	NA	NA	NA
ABalppapapp	NA	NA	NA	NA	NA
ABalppapp	42	39.2	40	38.8	45
ABalppappa	74	73.3	75.5	76.6	84.6
ABalppappaa	NA	NA	NA	NA	NA
ABalppappap	NA	NA	NA	NA	NA
ABalppappp	69	61.7	62.3	59.2	71.3
ABalppapppa	124	NA	NA	NA	NA
ABalppapppaa	NA	NA	NA	NA	NA
ABalppapppap	NA	NA	NA	NA	NA
ABalppapppp	NA	NA	NA	NA	NA
ABalppp	28	25.5	27.1	26.1	27.1
ABalpppa	38	35.1	34.7	33.7	40.8
ABalpppaa	62	48.9	47.9	51.2	54.6
ABalpppaaa	79	77.3	82.6	74.3	90.1
ABalpppaaaa	NA	NA	NA	NA	NA
ABalpppaaap	NA	NA	NA	NA	NA
ABalpppaap	89	72.3	79.2	76.8	86.8
ABalpppaapd	NA	NA	NA	NA	NA
ABalpppaapv	NA	NA	NA	NA	NA
ABalpppap	52	40.9	44.7	43.9	46.6
ABalpppapa	74	83.6	75.9	71.7	88
ABalpppapad	NA	NA	NA	NA	NA
ABalpppapav	NA	NA	NA	NA	NA
ABalpppapp	59	58.6	66	61.7	64.7
ABalpppappa	NA	NA	NA	NA	NA
ABalpppappp	94	NA	NA	NA	NA
ABalpppapppa	NA	NA	NA	NA	NA
ABalpppapppp	NA	NA	NA	NA	NA
ABalpppp	38	32	31.5	31.3	34.7
ABalppppa	48	42.4	41.6	43.8	46.5
ABalppppaa	68	71.7	75.5	69.1	82.6
ABalppppaad	NA	NA	NA	NA	NA
ABalppppaav	NA	NA	NA	NA	NA
ABalppppap	78	63.5	68.9	61.6	74.4
ABalppppapa	109	NA	NA	NA	NA
ABalppppapaa	NA	NA	NA	NA	NA
ABalppppapap	NA	NA	NA	NA	NA
ABalppppapp	NA	NA	NA	NA	NA
ABalppppp	42	36	35.3	38.8	38.6
ABalpppppa	64	66.6	68.6	66.6	79
ABalpppppaa	NA	NA	NA	NA	NA
ABalpppppap	NA	NA	NA	NA	NA
ABalpppppp	44	48.5	50.8	49.2	51
ABalppppppa	89	NA	77.7	NA	85
ABalppppppaa	NA	NA	NA	NA	NA
ABalppppppap	NA	NA	NA	NA	NA
ABalppppppp	89	NA	81.1	NA	74.8
ABalpppppppa	NA	NA	NA	NA	NA
ABalpppppppp	NA	NA	NA	NA	NA
ABar	17	13.5	3	4.7	6
ABara	21	15.1	15	14	15
ABaraa	29	24.1	24.1	21.3	22.6
ABaraaa	28	28.5	27.1	28.6	30.1
ABaraaaa	38	42.8	36.2	38.5	42.3
ABaraaaaa	67	47.5	49.6	46.4	51.5
ABaraaaaaa	84	71	71.3	64.5	88.5
ABaraaaaaaa	NA	NA	NA	NA	NA
ABaraaaaaap	NA	NA	NA	NA	NA
ABaraaaaap	89	79.3	68	67	88.5
ABaraaaaapa	NA	NA	NA	NA	NA
ABaraaaaapp	NA	NA	NA	NA	NA
ABaraaaap	72	52.3	54.4	53.6	54.7
ABaraaaapa	79	NA	88.1	77.2	105.6
ABaraaaapaa	NA	NA	NA	NA	NA
ABaraaaapap	NA	NA	NA	NA	NA
ABaraaaapp	NA	NA	NA	NA	NA
ABaraaap	38	33.6	31.5	36	34.7
ABaraaapa	48	39.3	36.9	39	41.9
ABaraaapaa	73	73.5	68.7	66.7	80.8
ABaraaapaaa	NA	NA	NA	NA	NA
ABaraaapaap	NA	NA	NA	NA	NA
ABaraaapap	58	56.9	52.5	54.2	61.1
ABaraaapapa	NA	NA	NA	NA	NA
ABaraaapapp	NA	NA	NA	NA	NA
ABaraaapp	59	48.9	46.2	48.8	57.6
ABaraaappa	72	82.3	80.8	77	93.5
ABaraaappaa	NA	NA	NA	NA	NA
ABaraaappap	NA	NA	NA	NA	NA
ABaraaappp	67	65.6	70.9	67	83.4
ABaraaapppa	NA	NA	NA	NA	NA
ABaraaapppp	NA	NA	NA	NA	NA
ABaraap	28	28.5	27.1	28.6	28.6
ABaraapa	38	35.2	33.2	33.6	39.3
ABaraapaa	57	42.5	43.1	43.9	48.1
ABaraapaaa	69	78.6	72.4	64.2	91.3
ABaraapaaaa	NA	NA	NA	NA	NA
ABaraapaaap	NA	NA	NA	NA	NA
ABaraapaap	54	60.4	60.9	56.7	69.6
ABaraapaapa	NA	NA	NA	NA	NA
ABaraapaapp	NA	NA	NA	NA	NA
ABaraapap	57	42.5	41.5	41.5	43.5
ABaraapapa	49	48.8	54.3	51.9	53
ABaraapapaa	129	NA	NA	NA	NA
ABaraapapaad	NA	NA	NA	NA	NA
ABaraapapaav	NA	NA	NA	NA	NA
ABaraapapap	NA	NA	NA	NA	NA
ABaraapapp	94	93.9	74	84.2	109.5
ABaraapappa	NA	NA	NA	NA	NA
ABaraapappp	NA	NA	NA	NA	NA
ABaraapp	38	33.6	31.5	31.3	36.2
ABaraappa	57	44	43	43.9	45
ABaraappaa	74	73.6	72.4	66.7	96
ABaraappaaa	NA	NA	NA	NA	NA
ABaraappaap	NA	NA	NA	NA	NA
ABaraappap	54	62	59.2	56.7	64.5
ABaraappapa	NA	NA	NA	NA	NA
ABaraappapp	NA	NA	NA	NA	NA
ABaraappp	57	40.9	40	43.9	45
ABaraapppa	49	53.6	57.4	54.2	52.9
ABaraapppaa	129	NA	NA	NA	NA
ABaraapppaad	NA	NA	NA	NA	NA
ABaraapppaav	NA	NA	NA	NA	NA
ABaraapppap	NA	NA	NA	NA	NA
ABaraapppp	89	90.3	82.1	76.7	114.5
ABaraappppa	NA	NA	NA	NA	NA
ABaraappppp	NA	NA	NA	NA	NA
ABarap	29	24.1	24.1	21.3	24.1
ABarapa	28	27	28.6	28.6	28.6
ABarapaa	38	36.7	33.2	33.6	39.3
ABarapaaa	62	52.1	46.4	46.4	54.6
ABarapaaaa	84	75.8	69.4	64.3	95.3
ABarapaaaaa	NA	NA	NA	NA	NA
ABarapaaaap	NA	NA	NA	NA	NA
ABarapaaap	89	80.8	82.6	74.3	103.7
ABarapaaapa	NA	NA	NA	NA	NA
ABarapaaapp	NA	NA	NA	NA	NA
ABarapaap	57	41	41.6	41.5	43.5
ABarapaapa	109	NA	84	79.2	121.6
ABarapaapaa	NA	NA	NA	NA	NA
ABarapaapap	NA	NA	NA	NA	NA
ABarapaapp	54	55.4	52.7	71.7	61.4
ABarapaappa	NA	NA	NA	NA	NA
ABarapaappp	NA	NA	NA	NA	NA
ABarapap	38	33.6	30	31.3	36.2
ABarapapa	42	40.9	41.5	41.4	45
ABarapapaa	89	66.7	75.6	69.1	84.4
ABarapapaaa	NA	NA	NA	NA	NA
ABarapapaap	84	NA	NA	NA	NA
ABarapapaapa	NA	NA	NA	NA	NA
ABarapapaapp	NA	NA	NA	NA	NA
ABarapapap	64	53.6	64.1	61.6	67.8
ABarapapapa	NA	NA	NA	NA	NA
ABarapapapp	NA	NA	NA	NA	NA
ABarapapp	38	39.2	40	39	41.8
ABarapappa	108	NA	102	106.8	141.7
ABarapappaa	NA	NA	NA	NA	NA
ABarapappap	NA	NA	NA	NA	NA
ABarapappp	48	50.2	49.3	49.3	51.2
ABarapapppa	NA	NA	NA	NA	NA
ABarapapppp	NA	NA	NA	NA	NA
ABarapp	28	28.5	27.1	28.6	28.6
ABarappa	38	36.7	34.7	38.5	39.3
ABarappaa	57	49	48	43.9	54.6
ABarappaaa	74	82.5	79.3	69.3	90.1
ABarappaaaa	NA	NA	NA	NA	NA
ABarappaaap	NA	NA	NA	NA	NA
ABarappaap	84	72.4	86	71.8	86.8
ABarappaapa	NA	NA	NA	NA	NA
ABarappaapp	NA	NA	NA	NA	NA
ABarappap	47	45.8	46.4	46.4	46.6
ABarappapa	74	63.9	66.1	64.5	74.6
ABarappapaa	NA	NA	NA	NA	NA
ABarappapap	109	NA	NA	NA	NA
ABarappapapa	NA	NA	NA	NA	NA
ABarappapapp	NA	NA	NA	NA	NA
ABarappapp	79	70.6	74.2	64.5	81.3
ABarappappa	NA	NA	NA	NA	NA
ABarappappp	NA	NA	NA	NA	NA
ABarappp	38	33.6	30	31.3	36.2
ABarapppa	48	47.3	46.3	43.9	51.3
ABarapppaa	73	78.9	77.4	76.7	84.7
ABarapppaaa	NA	NA	NA	NA	NA
ABarapppaap	NA	NA	NA	NA	NA
ABarapppap	73	70.4	70.8	74.2	81.4
ABarapppapa	NA	NA	NA	NA	NA
ABarapppapp	NA	NA	NA	NA	NA
ABarapppp	47	40.9	43.2	41.4	46.5
ABarappppa	74	71.9	83.9	76.6	86.2
ABarappppaa	NA	NA	NA	NA	NA
ABarappppap	NA	NA	NA	NA	NA
ABarappppp	69	58.6	65.6	69.1	74.6
ABarapppppa	114	NA	NA	NA	NA
ABarapppppaa	NA	NA	NA	NA	NA
ABarapppppap	NA	NA	NA	NA	NA
ABarapppppp	NA	NA	NA	NA	NA
ABarp	21	15.1	15	14	15
ABarpa	29	24.1	24.1	23.5	22.6
ABarpaa	28	25.5	25.6	23.7	28.6
ABarpaaa	38	45.9	40.7	43.4	45.3
ABarpaaaa	67	47.5	45	46.3	54.8
ABarpaaaaa	79	NA	72.8	79.6	107.3
ABarpaaaaal	NA	NA	NA	NA	NA
ABarpaaaaar	NA	NA	NA	NA	NA
ABarpaaaap	79	67.6	71.1	74.5	78.6
ABarpaaaapa	NA	NA	NA	NA	NA
ABarpaaaapp	NA	NA	NA	NA	NA
ABarpaaap	67	55.6	48	51.3	58
ABarpaaapa	74	NA	74.6	72.2	100.8
ABarpaaapaa	NA	NA	NA	NA	NA
ABarpaaapap	NA	NA	NA	NA	NA
ABarpaaapp	NA	NA	NA	NA	NA
ABarpaap	38	35.2	33	33.7	37.7
ABarpaapa	47	47.2	40	48.8	45
ABarpaapaa	NA	NA	NA	NA	NA
ABarpaapap	NA	NA	NA	NA	NA
ABarpaapp	42	45.6	41.5	46.3	45
ABarpaappa	NA	NA	NA	NA	NA
ABarpaappp	NA	NA	NA	NA	NA
ABarpap	28	27	27.1	23.7	30.1
ABarpapa	38	33.6	36.2	33.7	37.8
ABarpapaa	58	48.9	46.5	46.3	51.4
ABarpapaaa	88	80.6	74.4	81.7	64.9
ABarpapaaaa	NA	NA	NA	NA	NA
ABarpapaaap	NA	NA	NA	NA	NA
ABarpapaap	58	52.1	56.1	59.2	61.6
ABarpapaapa	NA	NA	NA	NA	NA
ABarpapaapp	90	NA	NA	NA	NA
ABarpapaappa	NA	NA	NA	NA	NA
ABarpapaappp	NA	NA	NA	NA	NA
ABarpapap	57	45.6	44.9	43.9	48.1
ABarpapapa	NA	NA	NA	NA	NA
ABarpapapp	NA	NA	NA	NA	NA
ABarpapp	38	33.6	36.2	33.7	39.3
ABarpappa	67	53.6	48	46.3	53
ABarpappaa	NA	NA	NA	NA	NA
ABarpappap	NA	NA	NA	NA	NA
ABarpappp	47	44	41.7	43.9	48.3
ABarpapppa	NA	NA	NA	NA	NA
ABarpapppp	NA	NA	NA	NA	NA
ABarpp	29	27.1	27.1	25.9	24.1
ABarppa	28	25.5	25.6	23.7	27.1
ABarppaa	38	38.3	37.7	38.5	48.4
ABarppaaa	62	52.3	49.6	46.4	56.5
ABarppaaaa	NA	NA	NA	NA	NA
ABarppaaap	NA	NA	NA	NA	NA
ABarppaap	57	47.5	45	41.5	53.3
ABarppaapa	NA	NA	NA	NA	NA
ABarppaapp	204	NA	NA	NA	NA
ABarppaappa	NA	NA	NA	NA	NA
ABarppaappp	NA	NA	NA	NA	NA
ABarppap	38	38.3	42.3	41	45.3
ABarppapa	57	52.3	48.4	48.8	53.2
ABarppapaa	NA	NA	NA	NA	NA
ABarppapap	NA	NA	NA	NA	NA
ABarppapp	57	53.9	48.4	48.8	54.8
ABarppappa	NA	NA	NA	NA	NA
ABarppappp	NA	NA	NA	NA	NA
ABarppp	28	27	25.6	23.7	28.6
ABarpppa	38	36.8	36.2	36	40.8
ABarpppaa	62	47.5	49.6	46.3	57.8
ABarpppaaa	NA	NA	NA	NA	NA
ABarpppaap	NA	NA	NA	NA	NA
ABarpppap	57	44.3	45	41.4	48.3
ABarpppapa	NA	NA	NA	NA	NA
ABarpppapp	199	NA	NA	NA	NA
ABarpppappa	NA	NA	NA	NA	NA
ABarpppappp	NA	NA	NA	NA	NA
ABarpppp	38	36.8	42.3	38.5	42.3
ABarppppa	57	49	46.8	48.7	61.1
ABarppppaa	NA	NA	NA	NA	NA
ABarppppap	NA	NA	NA	NA	NA
ABarppppp	52	52.3	48.4	48.7	59.5
ABarpppppa	NA	NA	NA	NA	NA
ABarpppppp	NA	NA	NA	NA	NA
ABp	16	12	NA	NA	NA
ABpl	17	15	3	4.7	6
ABpla	21	15.1	15	14	15
ABplaa	29	21.1	22.6	21.3	21.1
ABplaaa	28	28.5	25.6	26.1	28.6
ABplaaaa	38	35.2	39.2	38.5	36.2
ABplaaaaa	57	47.2	46.5	46.3	49.6
ABplaaaaaa	89	85.5	87.6	82	101.2
ABplaaaaaaa	NA	NA	NA	NA	NA
ABplaaaaaap	NA	NA	NA	NA	NA
ABplaaaaap	64	62.1	59.5	54.3	68
ABplaaaaapa	NA	NA	NA	NA	NA
ABplaaaaapp	89	NA	NA	NA	NA
ABplaaaaappa	NA	NA	NA	NA	NA
ABplaaaaappp	NA	NA	NA	NA	NA
ABplaaaap	57	48.9	49.6	48.8	49.6
ABplaaaapa	NA	NA	NA	NA	NA
ABplaaaapp	NA	NA	NA	NA	NA
ABplaaap	38	35.2	37.7	38.5	43.8
ABplaaapa	67	56.9	49.5	43.9	53
ABplaaapaa	NA	NA	NA	NA	NA
ABplaaapap	NA	NA	NA	NA	NA
ABplaaapp	52	48.9	44.7	43.9	49.9
ABplaaappa	NA	NA	NA	NA	NA
ABplaaappp	NA	NA	NA	NA	NA
ABplaap	28	28.5	25.6	23.8	27.1
ABplaapa	38	35.2	34.5	38.5	37.7
ABplaapaa	57	48.9	43	41.5	49.6
ABplaapaaa	79	77.2	77.3	71.7	92.9
ABplaapaaaa	NA	NA	NA	NA	NA
ABplaapaaap	NA	NA	NA	NA	NA
ABplaapaap	59	63.7	65.8	64.2	72.9
ABplaapaapa	NA	NA	NA	NA	NA
ABplaapaapp	NA	NA	NA	NA	NA
ABplaapap	57	45.6	44.6	41.5	44.9
ABplaapapa	79	75.4	79	74.2	90.9
ABplaapapaa	NA	NA	NA	NA	NA
ABplaapapap	NA	NA	NA	NA	NA
ABplaapapp	54	58.7	64.2	54.2	62.7
ABplaapappa	NA	NA	NA	NA	NA
ABplaapappp	109	NA	NA	NA	NA
ABplaapapppa	NA	NA	NA	NA	NA
ABplaapapppp	NA	NA	NA	NA	NA
ABplaapp	38	32.1	31.5	36.1	36.2
ABplaappa	57	53.6	43.1	43.9	54.2
ABplaappaa	NA	NA	NA	NA	NA
ABplaappap	NA	NA	NA	NA	NA
ABplaappp	42	45.5	41.5	43.9	48
ABplaapppa	NA	NA	NA	NA	NA
ABplaapppp	NA	NA	NA	NA	NA
ABplap	29	22.6	22.6	21.3	22.6
ABplapa	28	27	25.6	26.1	27.1
ABplapaa	38	35.2	34.5	33.7	39.2
ABplapaaa	47	45.6	43	41.4	49.6
ABplapaaaa	89	73.6	74	69.1	84.6
ABplapaaaaa	NA	NA	NA	NA	NA
ABplapaaaap	109	NA	NA	NA	NA
ABplapaaaapa	NA	NA	NA	NA	NA
ABplapaaaapp	NA	NA	NA	NA	NA
ABplapaaap	84	80.4	72.4	71.6	89.6
ABplapaaapa	114	NA	NA	NA	NA
ABplapaaapad	NA	NA	NA	NA	NA
ABplapaaapav	NA	NA	NA	NA	NA
ABplapaaapp	NA	NA	NA	NA	NA
ABplapaap	47	48.9	51	46.3	56
ABplapaapa	NA	NA	NA	NA	NA
ABplapaapp	NA	NA	NA	NA	NA
ABplapap	38	32.1	33	31.3	34.7
ABplapapa	42	45.5	46.3	48.7	49.5
ABplapapaa	334	NA	NA	NA	NA
ABplapapaaa	NA	NA	NA	NA	NA
ABplapapaap	NA	NA	NA	NA	NA
ABplapapap	NA	NA	NA	NA	NA
ABplapapp	42	44	41.6	41.3	48
ABplapappa	NA	NA	NA	NA	NA
ABplapappp	84	81.9	87	76.6	84.3
ABplapapppa	NA	NA	NA	NA	NA
ABplapapppp	94	NA	NA	NA	NA
ABplapappppa	84	NA	NA	NA	NA
ABplapappppaa	NA	NA	NA	NA	NA
ABplapappppap	NA	NA	NA	NA	NA
ABplapappppp	NA	NA	NA	NA	NA
ABplapp	28	27	27.1	26.1	28.6
ABplappa	38	36.7	36.2	38.5	36.2
ABplappaa	42	47.3	43.2	43.9	48.1
ABplappaaa	NA	NA	NA	NA	NA
ABplappaap	NA	NA	NA	NA	NA
ABplappap	42	47.3	48	43.9	51.2
ABplappapa	NA	NA	NA	NA	NA
