Cell	20081128_sulston	20221004_JIM712_ceh-32_L4	20221004_JIM712_ceh-32_L2	20220915_JIM712_ceh-32_L4	20220923_JIM712_ceh-32_L4
ABaraaapp	59	53.2	51.9	53.4	56.3
ABaraaappa	72	89.7	90.6	84.3	91.4
ABaraaappaa	NA	NA	NA	NA	NA
ABaraaappap	NA	NA	NA	NA	NA
ABaraaappp	67	71.4	79.5	73.3	81.5
ABaraaapppa	NA	NA	NA	NA	NA
ABaraaapppp	NA	NA	NA	NA	NA
ABaraap	28	31.1	30.3	31.3	27.9
ABaraapa	38	38.3	37.2	36.8	38.4
ABaraapaa	57	46.4	48.4	48	47.1
ABaraapaaa	69	85.7	81.2	70.4	89.4
ABaraapaaaa	NA	NA	NA	NA	NA
ABaraapaaap	NA	NA	NA	NA	NA
ABaraapaap	54	65.7	68.3	62.1	68.1
ABaraapaapa	NA	NA	NA	NA	NA
ABaraapaapp	NA	NA	NA	NA	NA
ABaraapap	57	46.4	46.6	45.4	42.5
ABaraapapa	49	53.1	60.9	56.8	51.8
ABaraapapaa	129	NA	NA	NA	NA
ABaraapapaad	NA	NA	NA	NA	NA
ABaraapapaav	NA	NA	NA	NA	NA
ABaraapapap	NA	NA	NA	NA	NA
ABaraapapp	94	102.2	83	92.3	107.1
ABaraapappa	NA	NA	NA	NA	NA
ABaraapappp	NA	NA	NA	NA	NA
ABaraapp	38	36.5	35.4	34.2	35.4
ABaraappa	57	48	48.3	48	44
ABaraappaa	74	80.2	81.2	73.1	93.9
ABaraappaaa	NA	NA	NA	NA	NA
ABaraappaap	NA	NA	NA	NA	NA
ABaraappap	54	67.5	66.4	62.1	63
ABaraappapa	NA	NA	NA	NA	NA
ABaraappapp	NA	NA	NA	NA	NA
ABaraappp	57	44.5	44.8	48	44
ABaraapppa	49	58.3	64.3	59.4	51.7
ABaraapppaa	129	NA	NA	NA	NA
ABaraapppaad	NA	NA	NA	NA	NA
ABaraapppaav	NA	NA	NA	NA	NA
ABaraapppap	NA	NA	NA	NA	NA
ABaraapppp	89	98.4	92	84	112
ABaraappppa	NA	NA	NA	NA	NA
ABaraappppp	NA	NA	NA	NA	NA
ABarap	29	26.2	27	23.3	23.5
ABarapa	28	29.4	32	31.3	27.9
ABarapaa	38	39.9	37.2	36.8	38.4
ABarapaaa	62	56.8	52	50.8	53.4
ABarapaaaa	84	82.6	77.8	70.5	93.2
ABarapaaaaa	NA	NA	NA	NA	NA
ABarapaaaap	NA	NA	NA	NA	NA
ABarapaaap	89	88.1	92.6	81.4	101.4
ABarapaaapa	NA	NA	NA	NA	NA
ABarapaaapp	NA	NA	NA	NA	NA
ABarapaap	57	44.6	46.7	45.4	42.6
ABarapaapa	109	NA	94.2	86.8	118.9
ABarapaapaa	NA	NA	NA	NA	NA
ABarapaapap	NA	NA	NA	NA	NA
ABarapaapp	54	60.3	59.1	78.6	60
ABarapaappa	NA	NA	NA	NA	NA
ABarapaappp	NA	NA	NA	NA	NA
ABarapap	38	36.5	33.7	34.2	35.4
ABarapapa	42	44.5	46.6	45.3	44
ABarapapaa	89	72.7	84.8	75.7	82.5
ABarapapaaa	NA	NA	NA	NA	NA
ABarapapaap	84	NA	NA	NA	NA
ABarapapaapa	NA	NA	NA	NA	NA
ABarapapaapp	NA	NA	NA	NA	NA
ABarapapap	64	58.3	71.9	67.5	66.3
ABarapapapa	NA	NA	NA	NA	NA
ABarapapapp	NA	NA	NA	NA	NA
ABarapapp	38	42.8	44.8	42.7	40.8
ABarapappa	108	NA	114.4	116.9	138.6
ABarapappaa	NA	NA	NA	NA	NA
ABarapappap	NA	NA	NA	NA	NA
ABarapappp	48	54.7	55.3	53.9	50.1
ABarapapppa	NA	NA	NA	NA	NA
ABarapapppp	NA	NA	NA	NA	NA
ABarapp	28	31.1	30.3	31.3	27.9
ABarappa	38	39.9	38.9	42.2	38.4
ABarappaa	57	53.3	53.8	48	53.4
ABarappaaa	74	89.8	88.9	75.9	88.2
ABarappaaaa	NA	NA	NA	NA	NA
ABarappaaap	NA	NA	NA	NA	NA
ABarappaap	84	78.8	96.4	78.7	84.9
ABarappaapa	NA	NA	NA	NA	NA
ABarappaapp	NA	NA	NA	NA	NA
ABarappap	47	49.8	52	50.8	45.6
ABarappapa	74	69.6	74.1	70.6	73
ABarappapaa	NA	NA	NA	NA	NA
ABarappapap	109	NA	NA	NA	NA
ABarappapapa	NA	NA	NA	NA	NA
ABarappapapp	NA	NA	NA	NA	NA
ABarappapp	79	76.8	83.3	70.6	79.6
ABarappappa	NA	NA	NA	NA	NA
ABarappappp	NA	NA	NA	NA	NA
ABarappp	38	36.5	33.7	34.2	35.4
ABarapppa	48	51.5	51.9	48	50.1
ABarapppaa	73	85.9	86.8	84	82.9
ABarapppaaa	NA	NA	NA	NA	NA
ABarapppaap	NA	NA	NA	NA	NA
ABarapppap	73	76.7	79.4	81.3	79.6
ABarapppapa	NA	NA	NA	NA	NA
ABarapppapp	NA	NA	NA	NA	NA
ABarapppp	47	44.5	48.4	45.3	45.5
ABarappppa	74	78.3	94.1	83.9	84.3
ABarappppaa	NA	NA	NA	NA	NA
ABarappppap	NA	NA	NA	NA	NA
ABarappppp	69	63.8	73.6	75.7	72.9
ABarapppppa	114	NA	NA	NA	NA
ABarapppppaa	NA	NA	NA	NA	NA
ABarapppppap	NA	NA	NA	NA	NA
ABarapppppp	NA	NA	NA	NA	NA
ABarp	21	16.4	16.8	15.4	14.6
ABarpa	29	26.2	27	25.8	22.1
ABarpaa	28	27.7	28.7	26	27.9
ABarpaaa	38	50.1	45.6	47.5	44.4
ABarpaaaa	67	51.8	50.4	50.8	53.6
ABarpaaaaa	79	NA	81.6	87.1	105
ABarpaaaaal	NA	NA	NA	NA	NA
ABarpaaaaar	NA	NA	NA	NA	NA
ABarpaaaap	79	73.6	79.7	81.5	76.9
ABarpaaaapa	NA	NA	NA	NA	NA
ABarpaaaapp	NA	NA	NA	NA	NA
ABarpaaap	67	60.6	53.9	56.1	56.7
ABarpaaapa	74	NA	83.6	79	98.5
ABarpaaapaa	NA	NA	NA	NA	NA
ABarpaaapap	NA	NA	NA	NA	NA
ABarpaaapp	NA	NA	NA	NA	NA
ABarpaap	38	38.3	37.1	36.8	36.8
ABarpaapa	47	51.5	44.8	53.4	44
ABarpaapaa	NA	NA	NA	NA	NA
ABarpaapap	NA	NA	NA	NA	NA
ABarpaapp	42	49.7	46.6	50.6	44
ABarpaappa	NA	NA	NA	NA	NA
ABarpaappp	NA	NA	NA	NA	NA
ABarpap	28	29.4	30.3	26	29.4
ABarpapa	38	36.5	40.6	36.8	36.9
ABarpapaa	58	53.2	52.1	50.6	50.2
ABarpapaaa	88	87.7	83.4	89.5	63.4
ABarpapaaaa	NA	NA	NA	NA	NA
ABarpapaaap	NA	NA	NA	NA	NA
ABarpapaap	58	56.8	63	64.9	60.2
ABarpapaapa	NA	NA	NA	NA	NA
ABarpapaapp	90	NA	NA	NA	NA
ABarpapaappa	NA	NA	NA	NA	NA
ABarpapaappp	NA	NA	NA	NA	NA
ABarpapap	57	49.7	50.3	48	47.1
ABarpapapa	NA	NA	NA	NA	NA
ABarpapapp	NA	NA	NA	NA	NA
ABarpapp	38	36.5	40.6	36.8	38.4
ABarpappa	67	58.4	53.9	50.6	51.8
ABarpappaa	NA	NA	NA	NA	NA
ABarpappap	NA	NA	NA	NA	NA
ABarpappp	47	48	46.8	48	47.2
ABarpapppa	NA	NA	NA	NA	NA
ABarpapppp	NA	NA	NA	NA	NA
ABarpp	29	29.5	30.3	28.4	23.5
ABarppa	28	27.8	28.7	26	26.5
ABarppaa	38	41.7	42.2	42.2	47.4
ABarppaaa	62	56.9	55.7	50.8	55.2
ABarppaaaa	NA	NA	NA	NA	NA
ABarppaaap	NA	NA	NA	NA	NA
ABarppaap	57	51.7	50.4	45.4	52.1
ABarppaapa	NA	NA	NA	NA	NA
ABarppaapp	204	NA	NA	NA	NA
ABarppaappa	NA	NA	NA	NA	NA
ABarppaappp	NA	NA	NA	NA	NA
ABarppap	38	41.7	47.4	44.8	44.4
ABarppapa	57	56.9	54.2	53.5	52
ABarppapaa	NA	NA	NA	NA	NA
ABarppapap	NA	NA	NA	NA	NA
ABarppapp	57	58.7	54.2	53.5	53.6
ABarppappa	NA	NA	NA	NA	NA
ABarppappp	NA	NA	NA	NA	NA
ABarppp	28	29.5	28.7	26	27.9
ABarpppa	38	40	40.6	39.5	39.9
ABarpppaa	62	51.7	55.7	50.6	56.5
ABarpppaaa	NA	NA	NA	NA	NA
ABarpppaap	NA	NA	NA	NA	NA
ABarpppap	57	48.2	50.4	45.3	47.2
ABarpppapa	NA	NA	NA	NA	NA
ABarpppapp	199	NA	NA	NA	NA
ABarpppappa	NA	NA	NA	NA	NA
ABarpppappp	NA	NA	NA	NA	NA
ABarpppp	38	40	47.4	42.2	41.4
ABarppppa	57	53.4	52.4	53.4	59.7
ABarppppaa	NA	NA	NA	NA	NA
ABarppppap	NA	NA	NA	NA	NA
ABarppppp	52	56.9	54.2	53.4	58.2
ABarpppppa	NA	NA	NA	NA	NA
ABarpppppp	NA	NA	NA	NA	NA
ABp	16	13	NA	NA	NA
ABpl	17	16.3	3.3	5.1	5.8
ABpla	21	16.4	16.8	15.4	14.6
ABplaa	29	22.9	25.3	23.3	20.6
ABplaaa	28	31	28.7	28.6	27.9
ABplaaaa	38	38.3	43.9	42.1	35.4
ABplaaaaa	57	51.5	52.1	50.6	48.6
ABplaaaaaa	89	93.2	98.3	89.7	99
ABplaaaaaaa	NA	NA	NA	NA	NA
ABplaaaaaap	NA	NA	NA	NA	NA
ABplaaaaap	64	67.6	66.7	59.5	66.5
ABplaaaaapa	NA	NA	NA	NA	NA
ABplaaaaapp	89	NA	NA	NA	NA
ABplaaaaappa	NA	NA	NA	NA	NA
ABplaaaaappp	NA	NA	NA	NA	NA
ABplaaaap	57	53.2	55.7	53.4	48.6
ABplaaaapa	NA	NA	NA	NA	NA
ABplaaaapp	NA	NA	NA	NA	NA
ABplaaap	38	38.3	42.2	42.1	42.8
ABplaaapa	67	61.9	55.6	48	51.8
ABplaaapaa	NA	NA	NA	NA	NA
ABplaaapap	NA	NA	NA	NA	NA
ABplaaapp	52	53.2	50.2	48	48.8
ABplaaappa	NA	NA	NA	NA	NA
ABplaaappp	NA	NA	NA	NA	NA
ABplaap	28	31	28.7	26	26.5
ABplaapa	38	38.3	38.8	42.1	36.8
ABplaapaa	57	53.2	48.3	45.4	48.6
ABplaapaaa	79	84	86.7	78.6	90.8
ABplaapaaaa	NA	NA	NA	NA	NA
ABplaapaaap	NA	NA	NA	NA	NA
ABplaapaap	59	69.4	73.8	70.4	71.3
ABplaapaapa	NA	NA	NA	NA	NA
ABplaapaapp	NA	NA	NA	NA	NA
ABplaapap	57	49.7	50.1	45.4	43.9
ABplaapapa	79	82.1	88.6	81.3	88.9
ABplaapapaa	NA	NA	NA	NA	NA
ABplaapapap	NA	NA	NA	NA	NA
ABplaapapp	54	63.9	72	59.4	61.4
ABplaapappa	NA	NA	NA	NA	NA
ABplaapappp	109	NA	NA	NA	NA
ABplaapapppa	NA	NA	NA	NA	NA
ABplaapapppp	NA	NA	NA	NA	NA
ABplaapp	38	34.9	35.4	39.5	35.4
ABplaappa	57	58.3	48.3	48	53.1
ABplaappaa	NA	NA	NA	NA	NA
ABplaappap	NA	NA	NA	NA	NA
ABplaappp	42	49.6	46.5	48	46.9
ABplaapppa	NA	NA	NA	NA	NA
ABplaapppp	NA	NA	NA	NA	NA
ABplap	29	24.6	25.3	23.3	22.1
ABplapa	28	29.4	28.7	28.6	26.5
ABplapaa	38	38.3	38.8	36.8	38.3
ABplapaaa	47	49.7	48.3	45.3	48.6
ABplapaaaa	89	80.2	83	75.7	82.8
ABplapaaaaa	NA	NA	NA	NA	NA
ABplapaaaap	109	NA	NA	NA	NA
ABplapaaaapa	NA	NA	NA	NA	NA
ABplapaaaapp	NA	NA	NA	NA	NA
ABplapaaap	84	87.5	81.2	78.5	87.7
ABplapaaapa	114	NA	NA	NA	NA
ABplapaaapad	NA	NA	NA	NA	NA
ABplapaaapav	NA	NA	NA	NA	NA
ABplapaaapp	NA	NA	NA	NA	NA
ABplapaap	47	53.2	57.2	50.6	54.7
ABplapaapa	NA	NA	NA	NA	NA
ABplapaapp	NA	NA	NA	NA	NA
ABplapap	38	34.9	37.1	34.2	33.9
ABplapapa	42	49.6	51.9	53.3	48.5
ABplapapaa	334	NA	NA	NA	NA
ABplapapaaa	NA	NA	NA	NA	NA
ABplapapaap	NA	NA	NA	NA	NA
ABplapapap	NA	NA	NA	NA	NA
ABplapapp	42	47.9	46.6	45.3	46.9
ABplapappa	NA	NA	NA	NA	NA
ABplapappp	84	89.2	97.5	83.9	82.4
ABplapapppa	NA	NA	NA	NA	NA
ABplapapppp	94	NA	NA	NA	NA
ABplapappppa	84	NA	NA	NA	NA
ABplapappppaa	NA	NA	NA	NA	NA
ABplapappppap	NA	NA	NA	NA	NA
ABplapappppp	NA	NA	NA	NA	NA
ABplapp	28	29.4	30.3	28.6	27.9
ABplappa	38	39.9	40.6	42.1	35.4
ABplappaa	42	51.5	48.5	48	47.1
