"CellsLineageOrder...1.","CellNames.as.vector.CellsLineageOrder...1...","CCTermDefects","PosTermDefects","AngTermDefects","ExpPeak.CellsLineageOrder...1..","ceh36_peak.CellsLineageOrder...1..","unc30_peak.CellsLineageOrder...1..","mls2_peak.CellsLineageOrder...1..","nob1_peak.CellsLineageOrder...1..","ceh13_peak.CellsLineageOrder...1.."
"ABalpaaappa","death",1,0,0,-71,-103,-294,0,-106,-38
"ABalpaaappp","MCL",1,0,0,-71,-89,-294,0,-106,217
"ABalpaapaaa","arcpost",1,0,0,-54,-37,-294,0,-73,217
"ABalpaapaap","e2DL",1,0,0,37,-37,-294,0,-51,217
"ABalpaapapa","mc1DL",1,0,0,37,-22,-182,171,-36,217
"ABalpaapapp","m3L",1,0,0,37,-22,-182,171,-36,217
"ABalpaappaa","arc_ant",1,0,0,37,-22,-182,171,-36,217
"ABalpaappap","arcpost",1,0,0,108,-37,-294,0,-51,217
"ABalpaapppa","hyp1",1,0,0,108,-37,132,4,-51,217
"ABalpaapppp","hyp2",1,0,0,108,-37,119,0,-51,217
"ABalpapaaaa","RIPL",1,0,0,-29,-37,-294,0,-73,217
"ABalpapaaap","hyp2",1,0,0,-21,-23,-264,0,-61,217
"ABalpapaapa","arc_ant",1,0,0,-21,-23,-264,0,-61,217
"ABalpapaapp","death",1,0,0,-21,-23,-264,0,-61,217
"ABalpapapaa","RMDDL",1,0,0,-6,-37,-294,0,-71,217
"ABalpapapap",NA,1,0,0,-6,-37,54,0,-71,217
"ABalpapappa","death",1,0,0,-6,-37,54,0,-71,217
"ABalpapappp","SMBVL",1,0,0,-6,-37,54,0,-71,217
"ABalpappaaa","death",1,0,0,-6,-37,-207,0,-71,217
"ABalpappaap",NA,1,0,0,-52,-18,-294,0,-73,217
"ABalpappapa","e2V",1,0,0,-37,4,-294,917,-44,217
"ABalpappapp","mc3V",1,0,0,38,4,-294,1349,-44,217
"ABalpapppaa","I1L",1,0,0,24,4,-294,2411,37,217
"ABalpapppap","death",1,0,0,24,4,-294,2411,37,217
"ABalpappppa","mc1V",1,0,0,24,4,-294,2411,37,217
"ABalpappppp","m3VL",1,0,0,24,4,-294,2411,37,217
"ABalppaaaa","death",1,0,0,24,4,-294,2411,37,217
"ABalppaaapa","AVAL",1,0,0,-52,-18,-294,922,-73,217
"ABalppaaapp","OLQsoVL",1,0,0,-50,-18,-294,6274,-68,217
"ABalppaapa","death",2,0,0,-50,-18,-294,9532,-68,217
"ABalppaappa","death",2,0,0,-50,-18,-294,9532,-68,217
"ABalppaappp","CEPsoVL",2,0,0,-50,-18,-294,9532,-68,217
"ABalppapaaa","RMDVL",1,0,0,-50,-18,-294,8299,-68,217
"ABalppapaap","ILshVL",1,0,0,0,-18,-294,5496,-18,217
"ABalppapapa","SAADL",1,0,0,0,-18,-294,10446,-18,217
"ABalppapapp","ILsoVL",1,0,0,0,-18,-294,10112,-18,217
"ABalppappaa","SMDVL",1,0,0,-71,-89,-294,0,-83,88
"ABalppappap","BAGL",1,0,0,-71,-52,-294,469,-55,92
"ABalppapppa",NA,2,0,0,-51,-52,-231,1761,-55,92
"ABalppapppp","IL2VL",2,0,0,-6,2,-231,1761,0,92
"ABalpppaaaa","AVEL",2,0,0,43,-51,-125,1761,-55,92
"ABalpppaaap","OLQshVL",2,0,0,43,-51,-125,1761,-55,92
"ABalpppaapd","OLLshL",1,0,0,43,-51,-125,1761,-55,92
"ABalpppaapv","death",1,0,0,-15,3,-294,1315,-55,92
"ABalpppapad","RMDL",1,0,0,260,3,-182,1653,-55,92
"ABalpppapav","AFDL",1,0,0,260,3,-182,2409,-55,92
"ABalpppappa","death",1,0,0,260,3,-182,2756,-55,92
"ABalpppappp",NA,1,0,0,164,3,-257,2003,-8,92
"ABalppppaad","ADLL",2,0,0,164,3,100,2003,-8,92
"ABalppppaav","death",2,0,0,164,3,1,2541,-8,92
"ABalppppapa",NA,2,0,0,-71,-89,-294,322,-83,88
"ABalppppapp","death",2,0,0,-38,-60,-294,3239,-83,88
"ABalpppppaa","ADFL",1,0,0,-38,-47,-294,7177,-73,88
"ABalpppppap","AWBL",1,0,0,-38,-47,-68,7177,-73,88
"ABalppppppaa","ASEL",1,0,0,-38,-47,-163,7177,-73,88
"ABalppppppap","death",1,0,0,-38,-60,-294,6513,-83,88
"ABalpppppppa","ASJL",2,0,0,-38,-60,-294,6513,-83,88
"ABalpppppppp","AUAL",2,0,0,-38,-60,-294,6513,-83,88
"ABaraaaaaaa","e1VL",1,0,0,-38,-60,-294,6513,-83,88
"ABaraaaaaap","m1L",1,0,0,-38,-60,-294,6513,-83,88
"ABaraaaaapa","e1VR",1,0,0,-31,-29,-294,2802,-83,88
"ABaraaaaapp","m1R",1,0,0,-31,-19,-294,7483,-83,88
"ABaraaaapaa","death",1,0,0,-31,-19,-294,7483,-83,88
"ABaraaaapap","e1D",1,0,0,-31,-19,-294,7483,-83,88
"ABaraaaapp","death",1,0,0,-31,-19,-294,7483,-83,88
"ABaraaapaaa","arcpost",2,0,0,-31,-19,-294,7483,-83,88
"ABaraaapaap","e2DR",2,0,0,-31,-12,-294,7313,-70,88
"ABaraaapapa","mc1DR",1,0,0,-31,-12,-294,12621,-70,88
"ABaraaapapp","m4R",1,0,0,-31,-12,-294,10742,-70,88
"ABaraaappaa","arcpost",1,0,0,-71,-173,-294,0,-107,-38
"ABaraaappap","arcpost",1,0,0,-71,-173,-294,0,-107,-38
"ABaraaapppa","arc_ant",1,0,0,-71,-146,-294,0,-107,-38
"ABaraaapppp","hyp1",1,0,0,-61,-69,-270,0,-53,-38
"ABaraapaaaa","e3D",1,0,0,-61,-69,-270,0,-45,-25
"ABaraapaaap","m1DL",1,0,0,-55,-69,-136,0,29,-25
"ABaraapaapa","m2DL",1,0,0,-55,-63,-136,0,29,-25
"ABaraapaapp","mc2DL",1,0,0,-55,-39,-136,0,29,-25
"ABaraapapaa",NA,1,0,0,19,-69,-62,0,11,-25
"ABaraapapap","m5L",1,0,0,19,1,28,0,11,-25
"ABaraapappa","M2L",1,0,0,19,-69,-62,0,11,-25
"ABaraapappp","M3L",1,0,0,-61,-69,-270,0,-28,-19
"ABaraappaaa","MI",2,0,0,-61,136,-270,0,-28,-19
"ABaraappaap","m1DR",2,0,0,-61,303,-270,3,-28,-19
"ABaraappapa","m2DR",2,0,0,-61,193,-270,0,-28,-19
"ABaraappapp","mc2DR",2,0,0,-37,268,-270,19,-28,-19
"ABaraapppaa",NA,2,0,0,-37,1191,216,19,-28,-19
"ABaraapppap","m5R",1,0,0,-37,341,-270,108,-28,-19
"ABaraappppa","M2R",1,0,0,-71,-146,-294,0,-107,-38
"ABaraappppp","M3R",1,0,0,-71,-132,-294,0,-107,-38
"ABarapaaaaa","e3VR",1,0,0,-71,212,-197,0,-57,-38
"ABarapaaaap","m2VR",1,0,0,-71,212,-197,0,-57,-38
"ABarapaaapa","m1VR",1,0,0,-71,251,-197,0,-57,-38
"ABarapaaapp","death",1,0,0,-71,25,-294,0,-63,-38
"ABarapaapaa","m2R",1,0,0,-71,364,-294,0,-63,-38
"ABarapaapap","death",1,0,0,-71,353,-294,0,-63,-38
"ABarapaappa","m3R",1,0,0,-71,-108,-294,0,-39,-38
"ABarapaappp","MCR",1,0,0,-71,-85,-181,0,-30,-12
"ABarapapaaa","death",1,0,0,-71,-16,-159,36,-30,-12
"ABarapapaap",NA,1,0,0,-71,-85,-181,0,-30,-12
"ABarapapapa","arcpost",1,0,0,-71,-108,-294,0,-3,-38
"ABarapapapp","I5",1,0,0,-71,-44,-294,0,-3,-38
"ABarapappaa","I1R",2,0,0,-71,-88,193,39,-3,-38
"ABarapappap","death",2,0,0,-71,-173,-294,0,-107,-38
"ABarapapppa","mc2V",1,0,0,-71,-136,-294,0,-81,-38
"ABarapapppp","m3VR",1,0,0,-69,-136,-294,0,-53,-38
"ABarappaaaa","RIPR",1,0,0,-54,-118,-189,0,-16,-23
"ABarappaaap","death",1,0,0,-54,-91,-189,0,-16,-23
"ABarappaapa","hyp1",1,0,0,-54,-118,-189,0,-16,-23
"ABarappaapp","death",1,0,0,-60,-136,-285,0,-44,-38
"ABarappapaa","RMDDR",1,0,0,-60,-63,54,0,-44,-38
"ABarappapap",NA,1,0,0,-60,251,334,0,-44,-38
"ABarappappa","DB2",1,0,0,-71,-136,-294,0,-36,-32
"ABarappappp","SMBVR",1,0,0,-64,1732,-294,0,-36,-17
"ABarapppaaa","RMDVR",1,0,0,-64,1784,-294,0,-36,-17
"ABarapppaap","ILshVR",1,0,0,-64,2235,-147,0,-36,-17
"ABarapppapa","SAADR",2,0,0,-64,2235,-147,0,-36,-17
"ABarapppapp","ILsoVR",2,0,0,-64,2235,-147,0,-36,-17
"ABarappppaa","SMDVR",1,0,0,-71,2007,-130,0,43,-18
"ABarappppap","BAGR",1,0,0,-71,3056,9,174,43,-18
"ABarapppppa",NA,1,0,0,-71,3638,-130,0,43,-18
"ABarapppppp","IL2VR",1,0,0,-71,-148,-294,0,-82,-30
"ABarpaaaaal","OLQsoDL",1,0,0,-71,234,-239,0,-47,-6
"ABarpaaaaar","OLQsoDR",1,0,0,-71,864,2,0,-2,-6
"ABarpaaaapa","OLQshDL",1,0,0,-71,864,30,0,-2,-6
"ABarpaaaapp","CEPshDL",1,0,0,-71,864,2,0,-2,-6
"ABarpaaapaa","OLQshSR",1,0,0,-71,864,2,0,-2,-6
"ABarpaaapap","CEPshDR",1,0,0,-71,864,2,0,-2,-6
"ABarpaaapp","death",1,0,0,-71,918,-228,0,23,-6
"ABarpaapaa","hyp6",1,0,0,-71,2621,-97,0,23,-6
"ABarpaapap","hyp7",1,0,0,-71,2395,84,0,23,-6
"ABarpaappa","hyp7",1,0,0,-71,162,-133,0,0,-30
"ABarpaappp","hyp7",1,0,0,-71,2480,-117,0,0,-30
"ABarpapaaaa","URADR",1,0,0,-71,2480,167,6,0,-30
"ABarpapaaap","CEMDR",1,0,0,-71,2480,-117,0,0,-30
"ABarpapaapa","death",1,0,0,-71,2750,-133,0,0,-30
"ABarpapaapp",NA,1,0,0,-71,4326,-49,0,0,-30
"ABarpapapa","hyp4",1,0,0,-71,3923,-133,0,0,-30
"ABarpapapp","hyp6",1,0,0,-59,-166,-294,0,-107,-38
"ABarpappaa","XXXR",1,0,0,-22,-127,-294,0,-107,708
"ABarpappap","hyp5",1,0,0,28,-87,-294,0,-102,708
"ABarpapppa","HOR",1,0,0,3714,-54,-294,0,-47,708
"ABarpapppp","H1R",1,0,0,4993,17,-169,29,18,708
"ABarppaaaa","ADEshL",2,0,0,8562,-54,-235,0,-47,708
"ABarppaaap","H2L",2,0,0,8562,-54,-235,0,-47,708
"ABarppaapa","hyp7",2,0,0,8562,-54,-4,0,-47,708
"ABarppaapp",NA,2,0,0,3634,-38,-281,0,-64,708
"ABarppapaa","V1L",2,0,0,5093,23,-169,479,31,708
"ABarppapap","V2L",2,0,0,8297,1,-31,1468,-64,708
"ABarppappa","V4L",2,0,0,8297,1,-31,4446,-64,708
"ABarppappp","V6L",2,1,0,8297,1,-31,5475,-64,708
"ABarpppaaa","ADEshR",2,0,0,-4,-127,-294,0,-95,708
"ABarpppaap","H2R",2,0,0,-4,-127,-294,0,-43,708
"ABarpppapa","hyp7",2,0,0,-4,-94,-225,0,-39,708
"ABarpppapp",NA,3,0,0,-4,-94,-225,0,-39,708
"ABarppppaa","V1R",2,0,0,-4,-94,-133,0,-39,708
"ABarppppap","V2R",2,0,0,-1,-127,-244,0,-43,708
"ABarpppppa","V4R",2,0,0,-1,-127,258,683,-43,708
"ABarpppppp","V6R",2,0,0,-1,-127,-201,0,-43,708
"ABplaaaaaaa","URADL",1,0,0,-4,-127,-223,0,-9,708
"ABplaaaaaap","CEMDL",1,0,0,19,-68,-223,0,-9,708
"ABplaaaaapa","death",1,0,0,19,-68,-223,0,-9,708
"ABplaaaaapp",NA,1,0,0,19,-68,-192,0,-9,708
"ABplaaaapa","hyp6",1,0,0,-4,-127,-150,0,-8,708
"ABplaaaapp","hyp6",1,0,0,-4,-127,-150,0,-8,708
"ABplaaapaa","XXXL",1,0,0,-4,-127,-150,0,-8,708
"ABplaaapap","hyp5",1,0,0,-4,-127,-150,0,-8,708
"ABplaaappa","HOL",1,0,0,-4,-127,-36,0,-8,708
"ABplaaappp","H1L",1,0,0,-59,-166,-294,0,-99,437
"ABplaapaaaa","hyp3",1,0,0,-46,-137,-294,0,-76,437
"ABplaapaaap","ILsoDL",1,0,0,-8,-26,-155,0,-76,437
"ABplaapaapa","URBL",1,0,0,-8,-17,-32,0,-76,437
"ABplaapaapp","AMshL",1,0,0,-8,-17,244,0,-76,437
"ABplaapapaa","AWAL",1,0,0,-8,-17,-32,0,-76,437
"ABplaapapap","ASGL",1,0,0,-8,-23,100,0,-47,437
"ABplaapappa","AIBL",1,0,0,-8,-23,100,0,-47,437
"ABplaapappp",NA,1,0,0,-8,-23,100,15,-47,437
"ABplaappaa","hyp4",1,0,0,-26,-83,-294,0,-56,437
"ABplaappap","hyp6",1,0,0,-26,-53,-116,283,-56,437
"ABplaapppa","hyp7",1,0,0,-26,-53,-116,2914,-56,437
"ABplaapppp","hyp7",2,0,0,-26,-53,-116,4242,-56,437
"ABplapaaaaa","death",1,0,0,-26,-65,-294,0,-56,437
"ABplapaaaap",NA,1,0,0,-26,-65,118,0,-56,437
"ABplapaaapa",NA,2,0,0,-26,-65,-83,0,-56,437
"ABplapaaapp","RMGL",1,0,0,-26,-65,-83,0,-56,437
"ABplapaapa","G2",1,0,0,-26,-65,-83,0,-56,437
"ABplapaapp","P1/2L",1,0,0,-46,-145,-294,0,-64,437
"ABplapapaa",NA,1,0,0,-46,-71,-294,0,-44,437
"ABplapapap","P9/10L",1,0,0,40,-64,-294,0,-44,437
"ABplapappa","P11",1,0,0,40,-64,-294,26,-44,437
"ABplapapppa","death",2,0,0,40,-64,-283,0,-44,437
"ABplapapppp",NA,3,0,0,-46,-71,-294,0,-44,437
"ABplappaaa","P3/4L",1,0,0,-46,-71,22,0,-44,437
"ABplappaap","P5/6L",1,0,0,-46,-71,22,0,-44,437
"ABplappapa","V3L",1,0,0,-46,-71,22,0,-44,437
"ABplappapp","P7/8L",1,0,0,-46,-71,-95,0,-44,437
"ABplapppaaa","PVQL",1,0,0,-17,-131,-294,0,-64,437
"ABplapppaap","death",1,0,0,-17,-60,-294,0,-64,437
"ABplapppapa","death",1,0,0,-17,-60,-152,0,-64,437
"ABplapppapp",NA,1,0,0,-17,-60,-277,0,-64,437
"ABplappppa","hyp7",1,0,0,-17,-131,-294,0,-64,437
"ABplappppp","TL",1,0,0,-17,-131,-294,0,-64,437
"ABplpaaaaaa","SAAVL",1,0,0,-17,-131,-294,0,-64,437
"ABplpaaaaap","AWCL",1,1,0,-17,-131,-294,0,-64,437
"ABplpaaaapa","exc_duct",1,0,0,-17,-131,-294,0,-64,437
"ABplpaaaapp","DB1/3",1,0,0,-17,-131,-294,0,-64,437
"ABplpaaapaa","URAVL",1,0,0,-17,-131,-294,0,-64,437
"ABplpaaapap","CEPshVL",1,0,0,-71,-86,-294,0,-87,-38
"ABplpaaappa",NA,1,0,0,-71,-86,-294,0,-69,-38
"ABplpaaappp","URYVL",1,0,0,-71,-86,-294,0,-42,-38
"ABplpaapaaa","RIVL",1,0,0,-71,-86,-294,0,-42,-38
"ABplpaapaap","AVBL",1,1,0,-71,-86,-294,720,-42,-12
"ABplpaapapa","AMsoL",1,0,0,-71,-81,-294,2365,-42,-12
"ABplpaapapp","CEMVL",1,0,0,-71,-72,-229,2829,-42,-12
"ABplpaappaa","ASHL",1,0,0,-71,16,-229,2829,-42,-12
"ABplpaappap","RIBL",1,0,0,-71,-72,119,2829,-42,-12
"ABplpaapppa","AIML",1,0,0,77,-81,-204,2479,-28,-6
"ABplpaapppp",NA,1,0,0,77,-73,-204,2479,-28,-6
"ABplpapaaaa","SMDDL",2,0,0,77,67,-204,2479,-28,-6
"ABplpapaaap","AIYL",2,0,0,-71,-86,-294,2144,-42,-12
"ABplpapaapa","SIADL",1,0,0,-71,-78,-28,2625,-42,-12
"ABplpapaapp","SIBVL",1,0,0,-71,-78,-28,2625,-42,-12
"ABplpapapaa","exc_gl_L",1,0,0,-71,-51,-28,2625,-42,-12
"ABplpapapap","AVKL",1,0,0,-71,132,-294,2144,-42,-12
"ABplpapappa","SIAVL",1,0,0,-71,-86,-294,573,-42,-38
"ABplpapappp","DB5",1,0,0,-71,-40,-294,1922,-42,-38
"ABplpappaaa","RMEV",2,0,0,-71,276,-226,2055,-41,-38
"ABplpappaap","exc_cell",2,0,0,-71,384,50,2055,-41,-38
"ABplpappap","death",1,0,0,-71,377,-226,2055,-41,-38
"ABplpapppaa","K",1,0,0,-71,343,-294,2225,-30,-38
"ABplpapppap","K'",1,0,0,-71,384,-294,2225,-30,-38
"ABplpappppa","PVT",1,0,0,-71,343,-294,2225,-30,-38
"ABplpappppp","rect_D",1,0,0,-71,-44,-183,1687,12,22
"ABplppaaaaa","SIBDL",1,0,0,-71,-44,-71,1687,12,22
"ABplppaaaap",NA,1,0,0,-71,-44,796,1687,12,22
"ABplppaaap","death",1,0,0,-71,-44,-71,1687,12,22
"ABplppaapaa","death",1,0,0,-71,-44,-183,1687,12,22
"ABplppaapap","RIML",1,0,0,-71,-44,-77,1687,12,22
"ABplppaappa","AIAL",1,0,0,-71,-44,-110,1687,12,22
"ABplppaappp","DB6",1,0,0,-71,-86,-294,0,-42,-38
"ABplppapaaa",NA,1,0,0,-71,-86,-294,998,-29,-31
"ABplppapaap","SABD",1,0,0,94,-86,-248,2419,-29,-15
"ABplppapapa","DA2",1,0,0,332,-86,-248,2419,-29,-5
"ABplppapapp","DA4",1,0,0,332,-14,-248,2419,-29,-5
"ABplppappaa","RIGL",1,0,0,332,-32,-248,2419,-29,-5
"ABplppappap","DD1",1,0,0,349,95,-248,2419,-29,-15
"ABplppapppa","DD3",1,0,0,349,1654,-244,2419,-29,-15
"ABplppapppp","DD5",1,0,0,349,2027,-248,2419,-29,-15
"ABplpppaaaa","DA9",2,0,0,120,-86,73,2383,-9,-31
"ABplpppaaap","DA6",2,0,0,345,1119,73,2383,-9,-31
"ABplpppaapa",NA,3,0,0,345,1422,73,2383,-9,-31
"ABplpppaapp","PHAL",3,0,0,345,1422,73,2383,-9,-31
"ABplpppapaa","PHshL",1,0,0,345,1422,73,2383,-9,-31
"ABplpppapap","hyp8/9",1,0,0,345,1119,73,2383,-9,-31
"ABplpppapp","death",1,0,0,230,1027,73,2383,12,-31
"ABplppppaaa","PVPL",1,0,0,230,1252,73,2383,12,-31
"ABplppppaap","rect_VL",1,0,0,230,1027,73,2383,12,-31
"ABplppppapa","U",1,0,0,-71,-86,-81,837,-17,-38
"ABplppppapp","F",1,0,0,26,426,-81,2098,-17,-33
"ABplpppppaa","mu_int_L",3,0,0,84,831,-81,2098,-17,-33
"ABplpppppap","mu_anal",3,0,0,84,831,-81,2098,-17,-33
"ABplppppppa","spike",1,0,0,84,831,-81,2098,-17,-33
"ABplppppppp","hyp10",1,0,0,270,971,-81,2249,-17,-33
"ABpraaaaaaa","AVER",2,0,0,270,1482,-81,2249,-17,-33
"ABpraaaaaap","OLQshVR",2,0,0,270,1933,-81,2249,-17,-33
"ABpraaaaapd","OLLshR",1,0,0,69,578,-81,2135,-17,-38
"ABpraaaaapv","death",1,0,0,261,3051,-81,2135,-17,-38
"ABpraaaapad","RMDR",1,0,0,261,3051,-81,2135,-17,-38
"ABpraaaapav","AFDR",1,0,0,261,3051,-81,2135,-17,-38
"ABpraaaappa","death",1,0,0,261,3051,-81,2135,-17,-38
"ABpraaaappp",NA,1,0,0,261,3051,-81,2135,-17,-38
"ABpraaapaad","ADLR",1,0,0,156,2695,-81,2135,-17,-36
"ABpraaapaav","death",1,0,0,156,2695,6,2135,-17,-36
"ABpraaapapa",NA,1,0,0,156,2695,-81,2135,-17,-36
"ABpraaapapp","death",1,0,0,-71,-86,-294,0,-56,-38
"ABpraaappaa","ADFR",1,0,0,-71,-63,-294,0,-44,-38
"ABpraaappap","AWBR",1,0,0,-40,-63,-231,0,-44,-18
"ABpraaapppa",NA,1,0,0,-40,-63,-231,0,-15,-18
"ABpraaappppa","ASJR",1,0,0,-40,-63,-170,0,-15,-18
"ABpraaappppp","AUAR",1,0,0,-40,-52,-170,0,-15,-18
"ABpraapaaaa","hyp3",1,0,0,-40,-63,-170,0,-15,-18
"ABpraapaaap","ILsoDR",1,0,0,-40,-63,-180,0,31,-18
"ABpraapaapa","URBR",1,0,0,-40,-61,-63,0,31,-18
"ABpraapaapp","AMshR",1,0,0,-40,43,-180,0,31,-18
"ABpraapapaa","AWAR",1,0,0,-40,-63,-17,0,-32,-18
"ABpraapapap","ASGR",1,0,0,-40,1400,-17,0,-32,-18
"ABpraapappa","AIBR",1,0,0,-40,1400,3,0,-32,-18
"ABpraapappp",NA,1,0,0,-40,1400,297,93,-32,-18
"ABpraappaa","hyp4",1,0,0,-40,1310,-17,0,-27,-18
"ABpraappap","hyp6",1,0,0,-40,2221,141,0,-27,-18
"ABpraapppa","hyp7",2,0,0,-40,1310,72,0,-27,-18
"ABpraapppp","hyp7",2,0,0,-71,-58,-294,0,-44,-11
"ABprapaaaaa","death",1,0,0,-45,44,-294,0,-44,-11
"ABprapaaaap",NA,1,0,0,1,410,-71,0,-44,-11
"ABprapaaapa",NA,2,0,0,1,410,-71,0,-44,-11
"ABprapaaapp","RMGR",1,0,0,1,410,14,0,-44,-11
"ABprapaapa","W",1,0,0,1,410,14,0,-44,-11
"ABprapaapp","P1/2R",1,0,0,1,410,14,0,-44,-11
"ABprapapaa",NA,1,0,0,-45,702,-141,0,-8,-11
"ABprapapap","P9/10R",1,0,0,-45,3330,60,0,-8,-11
"ABprapappa","P12",1,1,0,-45,3295,33,0,-8,-11
"ABprapapppa","death",1,0,0,-59,111,-274,0,-10,-11
"ABprapapppp",NA,2,0,0,-59,1412,-119,0,-10,-11
"ABprappaaa","P3/4R",1,0,0,-59,1412,-119,8,-10,-11
"ABprappaap","P5/6R",1,0,0,-59,1412,-119,0,-10,-11
"ABprappapa","V3R",1,0,0,-59,1307,-274,0,-10,-11
"ABprappapp","P7/8R",1,0,0,-59,2003,29,0,-10,-11
"ABprapppaaa","PVQR",1,0,0,-59,2127,-156,0,-10,-11
"ABprapppaap","death",1,0,0,-71,-86,-294,0,-30,-20
"ABprapppapa","death",1,0,0,-71,-68,-294,0,-30,-20
"ABprapppapp",NA,1,0,0,-70,-68,-248,0,-30,-20
"ABprappppa","hyp7",1,0,0,-69,-68,-108,0,0,26
"ABprappppp","TR",1,0,0,-69,-64,-108,12,0,26
"ABprpaaaaaa","SAAVR",1,0,0,-69,-62,-37,0,0,26
